RECORDING_SESSION_LABEL	TRIAL_INDEX	DATA_FILE	EYE_USED	GROUPING_VARIABLES	IA_AREA	IA_AVERAGE_FIX_PUPIL_SIZE	IA_BOTTOM	IA_DWELL_TIME	IA_DWELL_TIME_%	IA_DYNAMIC	IA_END_TIME	IA_FIRST_FIXATION_DURATION	IA_FIRST_FIXATION_INDEX	IA_FIRST_FIXATION_PREVIOUS_FIX_IA	IA_FIRST_FIXATION_PREVIOUS_IAREAS	IA_FIRST_FIXATION_RUN_INDEX	IA_FIRST_FIXATION_TIME	IA_FIRST_FIXATION_VISITED_IA_COUNT	IA_FIRST_FIXATION_X	IA_FIRST_FIXATION_Y	IA_FIRST_FIX_PROGRESSIVE	IA_FIRST_RUN_DWELL_TIME	IA_FIRST_RUN_END_TIME	IA_FIRST_RUN_FIXATION_%	IA_FIRST_RUN_FIXATION_COUNT	IA_FIRST_RUN_LANDING_POSITION	IA_FIRST_RUN_LAUNCH_SITE	IA_FIRST_RUN_START_TIME	IA_FIRST_SACCADE_AMPLITUDE	IA_FIRST_SACCADE_ANGLE	IA_FIRST_SACCADE_END_TIME	IA_FIRST_SACCADE_INDEX	IA_FIRST_SACCADE_START_TIME	IA_FIXATION_%	IA_FIXATION_COUNT	IA_FSA_COUNT_6	IA_FSA_DURATION_6	IA_GROUP	IA_ID	IA_INSTANCES_COUNT	IA_LABEL	IA_LAST_FIXATION_DURATION	IA_LAST_FIXATION_RUN	IA_LAST_FIXATION_TIME	IA_LAST_FIXATION_X	IA_LAST_FIXATION_Y	IA_LAST_RUN_DWELL_TIME	IA_LAST_RUN_END_TIME	IA_LAST_RUN_FIXATION_%	IA_LAST_RUN_FIXATION_COUNT	IA_LAST_RUN_LANDING_POSITION	IA_LAST_RUN_LAUNCH_SITE	IA_LAST_RUN_START_TIME	IA_LAST_SACCADE_AMPLITUDE	IA_LAST_SACCADE_ANGLE	IA_LAST_SACCADE_END_TIME	IA_LAST_SACCADE_INDEX	IA_LAST_SACCADE_START_TIME	IA_LEFT	IA_LEGAL	IA_LEGAL_IMMEDIATE	IA_MAX_FIX_PUPIL_SIZE	IA_MIN_FIX_PUPIL_SIZE	IA_POINTS	IA_REGRESSION_IN	IA_REGRESSION_IN_COUNT	IA_REGRESSION_OUT	IA_REGRESSION_OUT_COUNT	IA_REGRESSION_OUT_FULL	IA_REGRESSION_OUT_FULL_COUNT	IA_REGRESSION_PATH_DURATION	IA_RIGHT	IA_RUN_COUNT	IA_SECOND_FIXATION_DURATION	IA_SECOND_FIXATION_RUN	IA_SECOND_FIXATION_TIME	IA_SECOND_FIXATION_X	IA_SECOND_FIXATION_Y	IA_SECOND_RUN_DWELL_TIME	IA_SECOND_RUN_END_TIME	IA_SECOND_RUN_FIXATION_%	IA_SECOND_RUN_FIXATION_COUNT	IA_SECOND_RUN_LANDING_POSITION	IA_SECOND_RUN_LAUNCH_SITE	IA_SECOND_RUN_START_TIME	IA_SELECTIVE_REGRESSION_PATH_DURATION	IA_SKIP	IA_SPILLOVER	IA_START_TIME	IA_THIRD_FIXATION_DURATION	IA_THIRD_FIXATION_RUN	IA_THIRD_FIXATION_TIME	IA_THIRD_FIXATION_X	IA_THIRD_FIXATION_Y	IA_THIRD_RUN_DWELL_TIME	IA_THIRD_RUN_END_TIME	IA_THIRD_RUN_FIXATION_%	IA_THIRD_RUN_FIXATION_COUNT	IA_THIRD_RUN_LANDING_POSITION	IA_THIRD_RUN_LAUNCH_SITE	IA_THIRD_RUN_START_TIME	IA_TOP	IA_TYPE	INTEREST_AREA_FIXATION_SEQUENCE	IP_END_EVENT_MATCHED	IP_END_TIME	IP_INDEX	IP_LABEL	IP_START_EVENT_MATCHED	IP_START_TIME	REPORTING_METHOD	TRIAL_DWELL_TIME	TRIAL_FIXATION_COUNT	TRIAL_IA_COUNT	TRIAL_LABEL	TRIAL_START_TIME	TRIAL_TOTAL_VISITED_IA_COUNT	AG_Audio_LIST	AG_Loc	AG_VIDEO	Drift_Check	Session_Name_	Trial_Index_	Trial_Recycled_	__duration__1	bg_code	bg_name	calibration	condition	dog_session	frame_rate	session_number	sub_id	trial_number	trial_type	video_file
Ace_1	1	Ace_1.edf	RIGHT	bg_code	651264.00	7166.31	702	20428	0.7164	false	.	241	1	.	.	1	5237	0	449.00	260.20	1	14981	20856	0.5714	16	449.00	.	5237	.	.	.	.	.	0.9286	26	23	17862	.	6	.	video_area	859	3	40441	99.20	397.50	2284	41300	0.2500	7	833.10	-1612.10	38572	3.56	160.34	40440	27	40399	0	1	1	9052.00	6017.00	.	0	0	0	0	0	0	20428	1024	3	1163	1	5493	387.10	255.50	3163	32204	0.1071	3	448.20	-1153.30	28912	20428	0	.	.	423	1	6678	335.40	234.00	2284	41300	0.2500	7	833.10	-1612.10	38572	66	RECTANGLE	[6, 0, 6, 0, 6]	true	1927442	4	IP_after_agent_directional_cue	true	1891379	Fixations	28516.00	28	1	Trial: 1	1886142	1	[Knock.wav, Knock2.wav, Pheasant.wav, Pheasant2.wav, Squeak1.wav, Squeak2.wav, Squeak3.wav]	(512, 384)	.	0	Ace_1	1	False	41000	(255, 255, 255, 255)	white	w_minion64.mp4	fam	12-1	30.3	1	12	1-4	human_elephant_left	fam_human_elephant_left_100.mp4
Ace_1	2	Ace_1.edf	RIGHT	bg_code	651264.00	6551.67	702	16991	1.0000	false	.	517	1	.	.	1	5240	0	447.10	277.20	1	16991	22302	1.0000	6	447.10	.	5240	.	.	.	.	.	1.0000	6	5	16474	.	6	.	video_area	11399	1	10903	336.50	239.30	16991	22302	1.0000	6	447.10	.	5240	0.53	-162.03	10902	5	10892	0	1	1	7383.00	5983.00	.	0	0	0	0	0	0	16991	1024	1	1828	1	5781	485.30	312.80	.	.	.	.	.	.	.	16991	0	.	.	429	1	7623	423.00	260.50	.	.	.	.	.	.	.	66	RECTANGLE	[6]	true	1950762	4	IP_after_agent_directional_cue	true	1933700	Fixations	16991.00	6	1	Trial: 2	1928460	1	[Knock.wav, Knock2.wav, Pheasant.wav, Pheasant2.wav, Squeak1.wav, Squeak2.wav, Squeak3.wav]	(512, 384)	.	0	Ace_1	2	False	22000	(255, 255, 255, 255)	white	w_minion64.mp4	new_goal	12-1	30.3	1	12	1	human_ball_left	test_human_ball_left_100.mp4
Ace_2	1	Ace_2.edf	RIGHT	bg_code	651264.00	6555.46	702	25978	0.8158	false	.	32	1	.	.	1	5818	0	512.20	256.20	1	6257	12343	0.2000	9	512.20	.	5818	.	.	.	.	.	0.8667	39	33	18419	.	6	.	video_area	1739	6	40124	402.60	155.10	1739	41862	0.0222	1	402.60	-970.80	40124	13.07	-6.62	40123	44	39445	0	1	1	7449.00	5699.00	.	0	0	0	0	0	0	25978	1024	6	26	1	5876	420.70	230.60	464	13380	0.0222	1	763.70	-519.30	12917	25978	0	.	.	1307	1	5920	401.30	241.80	2985	17606	0.0667	3	864.00	-592.20	14502	66	RECTANGLE	[6, 0, 6, 0, 6, 0, 6, 0, 6, 0, 6]	true	3043810	4	IP_after_agent_directional_cue	true	3007751	Fixations	31845.00	45	1	Trial: 1	3001933	1	[Knock.wav, Knock2.wav, Pheasant.wav, Pheasant2.wav, Squeak1.wav, Squeak2.wav, Squeak3.wav]	(512, 384)	.	0	Ace_2	1	False	41000	(255, 255, 255, 255)	white	w_fly64.mp4	fam	12-2	30.3	2	12	1-4	human_elephant_left	fam_human_elephant_left_100.mp4
Ace_2	2	Ace_2.edf	RIGHT	bg_code	651264.00	6459.69	702	11664	1.0000	false	.	965	1	.	.	1	5675	0	973.10	127.80	1	11664	18754	1.0000	13	973.10	.	5675	.	.	.	.	.	1.0000	13	12	10699	.	6	.	video_area	31	1	18724	739.70	240.10	11664	18754	1.0000	13	973.10	.	5675	0.84	-109.77	18723	12	18709	0	1	1	7325.00	5799.00	.	0	0	0	0	0	0	11664	1024	1	511	1	6718	584.60	155.60	.	.	.	.	.	.	.	11664	0	.	.	756	1	7268	522.50	303.00	.	.	.	.	.	.	.	66	RECTANGLE	[6]	true	3067415	4	IP_after_agent_directional_cue	true	3050352	Fixations	11664.00	13	1	Trial: 2	3044677	1	[Knock.wav, Knock2.wav, Pheasant.wav, Pheasant2.wav, Squeak1.wav, Squeak2.wav, Squeak3.wav]	(512, 384)	.	0	Ace_2	2	False	22000	(255, 255, 255, 255)	white	w_fly64.mp4	new_side	12-2	30.3	2	12	2	human_elephant_right	test_human_elephant_right_100.mp4
Ace_3	1	Ace_3.edf	RIGHT	bg_code	651264.00	8108.47	702	31372	0.9033	false	.	1007	1	.	.	1	5473	0	647.40	228.90	1	5795	11481	0.2174	5	647.40	.	5473	.	.	.	.	.	0.8261	19	15	26988	.	6	.	video_area	3029	4	38534	467.40	199.00	4438	41563	0.1739	4	481.50	-274.60	36862	13.76	146.57	38533	22	38407	0	1	1	8934.00	6688.00	.	0	0	0	0	0	0	31372	1024	4	3854	1	6501	740.10	213.90	11544	24443	0.2609	6	165.40	-431.30	12669	31372	0	.	.	277	1	10398	829.40	333.70	9595	35774	0.1739	4	474.10	-738.40	26030	66	RECTANGLE	[6, 0, 6, 0, 6, 0, 6]	true	6066292	4	IP_after_agent_directional_cue	true	6030202	Fixations	34732.00	23	1	Trial: 1	6024729	1	[Knock.wav, Knock2.wav, Pheasant.wav, Pheasant2.wav, Squeak1.wav, Squeak2.wav, Squeak3.wav]	(512, 384)	.	0	Ace_3	1	False	41000	(255, 255, 255, 255)	white	w_fly64.mp4	fam	12-3	30.3	3	12	1-4	inanimate_ball_right	fam_inanimate_ball_right_100.mp4
Ace_3	2	Ace_3.edf	RIGHT	bg_code	651264.00	8223.67	702	16225	1.0000	false	.	336	1	.	.	1	5691	0	687.00	117.80	1	16225	22758	1.0000	6	687.00	.	5691	.	.	.	.	.	1.0000	6	5	15889	.	6	.	video_area	11849	1	10909	355.30	213.60	16225	22758	1.0000	6	687.00	.	5691	0.73	50.10	10908	5	10893	0	1	1	9223.00	7299.00	.	0	0	0	0	0	0	16225	1024	1	2037	1	6082	522.50	288.90	.	.	.	.	.	.	.	16225	0	.	.	465	1	8132	475.50	289.20	.	.	.	.	.	.	.	66	RECTANGLE	[6]	true	6090233	4	IP_after_agent_directional_cue	true	6073166	Fixations	16225.00	6	1	Trial: 2	6067475	1	[Knock.wav, Knock2.wav, Pheasant.wav, Pheasant2.wav, Squeak1.wav, Squeak2.wav, Squeak3.wav]	(512, 384)	.	0	Ace_3	2	False	22000	(255, 255, 255, 255)	white	w_fly64.mp4	new_side	12-3	30.3	3	12	3	inanimate_ball_left	test_inanimate_ball_left_100.mp4
Ace_4	1	Ace_4.edf	RIGHT	bg_code	651264.00	6721.80	702	30947	0.9604	false	.	49	1	.	.	1	5504	0	590.80	307.90	1	17631	23818	0.5926	16	590.80	.	5504	.	.	.	.	.	0.9259	25	22	25621	.	6	.	video_area	179	3	41387	376.60	301.00	8142	41566	0.2593	7	323.30	38.80	33096	8.27	-177.24	41386	26	41299	0	1	1	8426.00	5391.00	.	0	0	0	0	0	0	30947	1024	3	1522	1	5572	678.60	312.70	5174	30163	0.0741	2	410.30	-370.80	24851	30947	0	.	.	545	1	7114	747.30	292.40	8142	41566	0.2593	7	323.30	38.80	33096	66	RECTANGLE	[6, 0, 6, 0, 6]	true	12737154	4	IP_after_agent_directional_cue	true	12701092	Fixations	32224.00	27	1	Trial: 1	12695588	1	[Knock.wav, Knock2.wav, Pheasant.wav, Pheasant2.wav, Squeak1.wav, Squeak2.wav, Squeak3.wav]	(512, 384)	.	0	Ace_4	1	False	41000	(255, 255, 255, 255)	white	w_fly64.mp4	fam	12-4	30.3	4	12	1-4	inanimate_ball_right	fam_inanimate_ball_right_100.mp4
Ace_4	2	Ace_4.edf	RIGHT	bg_code	651264.00	6467.25	702	12283	1.0000	false	.	324	1	.	.	1	5520	0	458.70	377.50	1	12283	18144	1.0000	12	458.70	.	5520	.	.	.	.	.	1.0000	12	11	11959	.	6	.	video_area	74	1	18071	455.70	198.00	12283	18144	1.0000	12	458.70	.	5520	11.33	148.92	18070	11	17986	0	1	1	8760.00	5465.00	.	0	0	0	0	0	0	12283	1024	1	375	1	5859	497.10	372.20	.	.	.	.	.	.	.	12283	0	.	.	1509	1	6278	645.10	336.10	.	.	.	.	.	.	.	66	RECTANGLE	[6]	true	12760739	4	IP_after_agent_directional_cue	true	12743676	Fixations	12283.00	12	1	Trial: 2	12738156	1	[Knock.wav, Knock2.wav, Pheasant.wav, Pheasant2.wav, Squeak1.wav, Squeak2.wav, Squeak3.wav]	(512, 384)	.	0	Ace_4	2	False	22000	(255, 255, 255, 255)	white	w_fly64.mp4	new_goal	12-4	30.3	4	12	4	inanimate_elephant_right	test_inanimate_elephant_right_100.mp4
Amy_1	1	Amy_1.edf	RIGHT	bg_code	651264.00	3363.38	702	27346	0.8337	false	.	190	1	.	.	1	5101	0	319.90	375.90	1	4424	9849	0.2051	8	319.90	.	5101	.	.	.	.	.	0.8205	32	28	23977	.	6	.	video_area	208	4	38394	345.80	396.60	3156	38601	0.1538	6	297.20	7.90	34620	1.46	-127.95	38393	34	37931	0	1	1	3786.00	2835.00	.	0	0	0	0	0	0	27346	1024	4	258	1	5340	110.00	540.50	15641	28783	0.3846	15	100.90	28.80	12444	27346	0	.	.	408	1	5623	20.00	649.10	4125	33335	0.0769	3	267.70	428.30	29143	66	RECTANGLE	[6, 0, 6, 0, 6, 0, 6, 0]	true	712419	4	IP_after_agent_directional_cue	true	676331	Fixations	32800.00	39	1	Trial: 1	671230	1	[Knock.wav, Knock2.wav, Pheasant.wav, Pheasant2.wav, Squeak1.wav, Squeak2.wav, Squeak3.wav]	(512, 384)	.	0	Amy_1	1	False	41000	(255, 255, 255, 255)	white	w_cuckoo64.mp4	fam	19-1	12	1	19	1-4	inanimate_ball_left	fam_inanimate_ball_left_100.mp4
Amy_1	2	Amy_1.edf	RIGHT	bg_code	651264.00	3701.00	702	6906	0.4414	false	.	582	1	.	.	1	5471	0	180.40	383.60	1	2274	8091	0.2222	4	180.40	.	5471	.	.	.	.	.	0.7222	13	7	2952	.	6	.	video_area	1778	6	20705	632.80	336.20	1778	22482	0.0556	1	632.80	29.70	20705	21.25	23.10	20704	17	20616	0	1	1	4916.00	3109.00	.	0	0	0	0	0	0	6906	1024	6	1105	1	6121	561.30	461.20	1482	10352	0.2778	5	595.90	411.60	8733	6906	0	.	.	78	1	7498	379.40	680.40	345	11670	0.0556	1	812.80	-966.70	11326	66	RECTANGLE	[6, 0, 6, 0, 6, 0, 6, 0, 6, 0, 6]	true	735960	4	IP_after_agent_directional_cue	true	718898	Fixations	15647.00	18	1	Trial: 2	713427	1	[Knock.wav, Knock2.wav, Pheasant.wav, Pheasant2.wav, Squeak1.wav, Squeak2.wav, Squeak3.wav]	(512, 384)	.	0	Amy_1	2	False	22000	(255, 255, 255, 255)	white	w_cuckoo64.mp4	new_side	19-1	12	1	19	1	inanimate_ball_right	test_inanimate_ball_right_100.mp4
