RECORDING_SESSION_LABEL	TRIAL_INDEX	DATA_FILE	EYE_USED	GROUPING_VARIABLES	IA_AREA	IA_AVERAGE_FIX_PUPIL_SIZE	IA_BOTTOM	IA_DWELL_TIME	IA_DWELL_TIME_%	IA_DYNAMIC	IA_END_TIME	IA_FIRST_FIXATION_DURATION	IA_FIRST_FIXATION_INDEX	IA_FIRST_FIXATION_PREVIOUS_FIX_IA	IA_FIRST_FIXATION_PREVIOUS_IAREAS	IA_FIRST_FIXATION_RUN_INDEX	IA_FIRST_FIXATION_TIME	IA_FIRST_FIXATION_VISITED_IA_COUNT	IA_FIRST_FIXATION_X	IA_FIRST_FIXATION_Y	IA_FIRST_FIX_PROGRESSIVE	IA_FIRST_RUN_DWELL_TIME	IA_FIRST_RUN_END_TIME	IA_FIRST_RUN_FIXATION_%	IA_FIRST_RUN_FIXATION_COUNT	IA_FIRST_RUN_LANDING_POSITION	IA_FIRST_RUN_LAUNCH_SITE	IA_FIRST_RUN_START_TIME	IA_FIRST_SACCADE_AMPLITUDE	IA_FIRST_SACCADE_ANGLE	IA_FIRST_SACCADE_END_TIME	IA_FIRST_SACCADE_INDEX	IA_FIRST_SACCADE_START_TIME	IA_FIXATION_%	IA_FIXATION_COUNT	IA_FSA_COUNT_6	IA_FSA_DURATION_6	IA_GROUP	IA_ID	IA_INSTANCES_COUNT	IA_LABEL	IA_LAST_FIXATION_DURATION	IA_LAST_FIXATION_RUN	IA_LAST_FIXATION_TIME	IA_LAST_FIXATION_X	IA_LAST_FIXATION_Y	IA_LAST_RUN_DWELL_TIME	IA_LAST_RUN_END_TIME	IA_LAST_RUN_FIXATION_%	IA_LAST_RUN_FIXATION_COUNT	IA_LAST_RUN_LANDING_POSITION	IA_LAST_RUN_LAUNCH_SITE	IA_LAST_RUN_START_TIME	IA_LAST_SACCADE_AMPLITUDE	IA_LAST_SACCADE_ANGLE	IA_LAST_SACCADE_END_TIME	IA_LAST_SACCADE_INDEX	IA_LAST_SACCADE_START_TIME	IA_LEFT	IA_LEGAL	IA_LEGAL_IMMEDIATE	IA_MAX_FIX_PUPIL_SIZE	IA_MIN_FIX_PUPIL_SIZE	IA_POINTS	IA_REGRESSION_IN	IA_REGRESSION_IN_COUNT	IA_REGRESSION_OUT	IA_REGRESSION_OUT_COUNT	IA_REGRESSION_OUT_FULL	IA_REGRESSION_OUT_FULL_COUNT	IA_REGRESSION_PATH_DURATION	IA_RIGHT	IA_RUN_COUNT	IA_SECOND_FIXATION_DURATION	IA_SECOND_FIXATION_RUN	IA_SECOND_FIXATION_TIME	IA_SECOND_FIXATION_X	IA_SECOND_FIXATION_Y	IA_SECOND_RUN_DWELL_TIME	IA_SECOND_RUN_END_TIME	IA_SECOND_RUN_FIXATION_%	IA_SECOND_RUN_FIXATION_COUNT	IA_SECOND_RUN_LANDING_POSITION	IA_SECOND_RUN_LAUNCH_SITE	IA_SECOND_RUN_START_TIME	IA_SELECTIVE_REGRESSION_PATH_DURATION	IA_SKIP	IA_SPILLOVER	IA_START_TIME	IA_THIRD_FIXATION_DURATION	IA_THIRD_FIXATION_RUN	IA_THIRD_FIXATION_TIME	IA_THIRD_FIXATION_X	IA_THIRD_FIXATION_Y	IA_THIRD_RUN_DWELL_TIME	IA_THIRD_RUN_END_TIME	IA_THIRD_RUN_FIXATION_%	IA_THIRD_RUN_FIXATION_COUNT	IA_THIRD_RUN_LANDING_POSITION	IA_THIRD_RUN_LAUNCH_SITE	IA_THIRD_RUN_START_TIME	IA_TOP	IA_TYPE	INTEREST_AREA_FIXATION_SEQUENCE	IP_END_EVENT_MATCHED	IP_END_TIME	IP_INDEX	IP_LABEL	IP_START_EVENT_MATCHED	IP_START_TIME	REPORTING_METHOD	TRIAL_DWELL_TIME	TRIAL_FIXATION_COUNT	TRIAL_IA_COUNT	TRIAL_LABEL	TRIAL_START_TIME	TRIAL_TOTAL_VISITED_IA_COUNT	AG_Audio_LIST	AG_Loc	AG_VIDEO	Drift_Check	Session_Name_	Trial_Index_	Trial_Recycled_	__duration__1	bg_code	bg_name	calibration	condition	dog_session	frame_rate	session_number	sub_id	trial_number	trial_type	video_file
Ace_1	1	Ace_1.edf	RIGHT	bg_code	651264.00	6515.08	702	10687	1.0000	false	.	140	1	.	.	1	300	0	463.60	376.60	1	10687	11298	1.0000	12	463.60	.	300	.	.	.	.	.	1.0000	12	11	10547	.	6	.	video_area	764	1	10534	390.20	207.50	10687	11298	1.0000	12	463.60	.	300	2.14	4.27	10533	11	10509	0	1	1	7069.00	5705.00	.	0	0	0	0	0	0	10687	1024	1	3302	1	475	516.50	255.70	.	.	.	.	.	.	.	10687	0	.	.	453	1	3790	483.30	260.20	.	.	.	.	.	.	.	66	RECTANGLE	[6]	true	1897440	1	IP_fam_first_trial	true	1886442	Fixations	10687.00	12	1	Trial: 1	1886142	1	[Knock.wav, Knock2.wav, Pheasant.wav, Pheasant2.wav, Squeak1.wav, Squeak2.wav, Squeak3.wav]	(512, 384)	.	0	Ace_1	1	False	41000	(255, 255, 255, 255)	white	w_minion64.mp4	fam	12-1	30.3	1	12	1-4	human_elephant_left	fam_human_elephant_left_100.mp4
Ace_1	2	Ace_1.edf	RIGHT	bg_code	651264.00	6538.10	702	10702	1.0000	false	.	180	1	.	.	1	301	0	463.20	338.70	1	10702	11292	1.0000	10	463.20	.	301	.	.	.	.	.	1.0000	10	9	10522	.	6	.	video_area	389	1	10903	336.50	239.30	10702	11292	1.0000	10	463.20	.	301	0.53	-162.03	10902	9	10892	0	1	1	7383.00	5983.00	.	0	0	0	0	0	0	10702	1024	1	384	1	490	462.50	322.20	.	.	.	.	.	.	.	10702	0	.	.	771	1	886	488.50	311.20	.	.	.	.	.	.	.	66	RECTANGLE	[6]	true	1939752	1	IP_fam_first_trial	true	1928761	Fixations	10702.00	10	1	Trial: 2	1928460	1	[Knock.wav, Knock2.wav, Pheasant.wav, Pheasant2.wav, Squeak1.wav, Squeak2.wav, Squeak3.wav]	(512, 384)	.	0	Ace_1	2	False	22000	(255, 255, 255, 255)	white	w_minion64.mp4	new_goal	12-1	30.3	1	12	1	human_ball_left	test_human_ball_left_100.mp4
Ace_2	1	Ace_2.edf	RIGHT	bg_code	651264.00	6634.09	702	10432	1.0000	false	.	1057	1	.	.	1	879	0	533.60	262.00	1	10432	11871	1.0000	11	533.60	.	879	.	.	.	.	.	1.0000	11	10	9375	.	6	.	video_area	1642	1	10229	277.70	240.90	10432	11871	1.0000	11	533.60	.	879	5.67	-176.73	10228	10	10139	0	1	1	7449.00	5880.00	.	0	0	0	0	0	0	10432	1024	1	1651	1	1984	597.30	127.10	.	.	.	.	.	.	.	10432	0	.	.	181	1	3679	537.50	288.00	.	.	.	.	.	.	.	66	RECTANGLE	[6]	true	3013804	1	IP_fam_first_trial	true	3002812	Fixations	10432.00	11	1	Trial: 1	3001933	1	[Knock.wav, Knock2.wav, Pheasant.wav, Pheasant2.wav, Squeak1.wav, Squeak2.wav, Squeak3.wav]	(512, 384)	.	0	Ace_2	1	False	41000	(255, 255, 255, 255)	white	w_fly64.mp4	fam	12-2	30.3	2	12	1-4	human_elephant_left	fam_human_elephant_left_100.mp4
Ace_2	2	Ace_2.edf	RIGHT	bg_code	651264.00	6070.38	702	9706	1.0000	false	.	130	1	.	.	1	735	0	514.10	397.70	1	9706	11727	1.0000	16	514.10	.	735	.	.	.	.	.	1.0000	16	15	9576	.	6	.	video_area	322	1	11405	714.50	245.90	9706	11727	1.0000	16	514.10	.	735	1.76	130.21	11404	15	11383	0	1	1	7325.00	5490.00	.	0	0	0	0	0	0	9706	1024	1	280	1	893	449.70	328.00	.	.	.	.	.	.	.	9706	0	.	.	198	1	1233	782.40	485.90	.	.	.	.	.	.	.	66	RECTANGLE	[6]	true	3056404	1	IP_fam_first_trial	true	3045412	Fixations	9706.00	16	1	Trial: 2	3044677	1	[Knock.wav, Knock2.wav, Pheasant.wav, Pheasant2.wav, Squeak1.wav, Squeak2.wav, Squeak3.wav]	(512, 384)	.	0	Ace_2	2	False	22000	(255, 255, 255, 255)	white	w_fly64.mp4	new_side	12-2	30.3	2	12	2	human_elephant_right	test_human_elephant_right_100.mp4
Ace_3	1	Ace_3.edf	RIGHT	bg_code	651264.00	6834.07	702	10108	0.9733	false	.	223	1	.	.	1	542	0	508.30	353.60	1	620	1205	0.1875	3	508.30	.	542	.	.	.	.	.	0.8750	14	12	9486	.	6	.	video_area	200	2	11282	374.40	133.10	9488	11481	0.6875	11	165.70	-480.70	1585	11.73	165.72	11281	14	11189	0	1	1	8599.00	5149.00	.	0	0	0	0	0	0	10108	1024	2	264	1	787	503.00	280.30	9488	11481	0.6875	11	165.70	-480.70	1585	10108	0	.	.	133	1	1073	462.70	198.20	.	.	.	.	.	.	.	66	RECTANGLE	[6, 0, 6, 0]	true	6036268	1	IP_fam_first_trial	true	6025271	Fixations	10385.00	16	1	Trial: 1	6024729	1	[Knock.wav, Knock2.wav, Pheasant.wav, Pheasant2.wav, Squeak1.wav, Squeak2.wav, Squeak3.wav]	(512, 384)	.	0	Ace_3	1	False	41000	(255, 255, 255, 255)	white	w_fly64.mp4	fam	12-3	30.3	3	12	1-4	inanimate_ball_right	fam_inanimate_ball_right_100.mp4
Ace_3	2	Ace_3.edf	RIGHT	bg_code	651264.00	8296.11	702	9838	1.0000	false	.	1319	1	.	.	1	755	0	502.70	245.80	1	9838	11753	1.0000	9	502.70	.	755	.	.	.	.	.	1.0000	9	8	8519	.	6	.	video_area	844	1	10909	355.30	213.60	9838	11753	1.0000	9	502.70	.	755	0.73	50.10	10908	8	10893	0	1	1	9223.00	7233.00	.	0	0	0	0	0	0	9838	1024	1	1319	1	2170	236.70	114.00	.	.	.	.	.	.	.	9838	0	.	.	1122	1	3614	107.40	124.80	.	.	.	.	.	.	.	66	RECTANGLE	[6]	true	6079228	1	IP_fam_first_trial	true	6068230	Fixations	9838.00	9	1	Trial: 2	6067475	1	[Knock.wav, Knock2.wav, Pheasant.wav, Pheasant2.wav, Squeak1.wav, Squeak2.wav, Squeak3.wav]	(512, 384)	.	0	Ace_3	2	False	22000	(255, 255, 255, 255)	white	w_fly64.mp4	new_side	12-3	30.3	3	12	3	inanimate_ball_left	test_inanimate_ball_left_100.mp4
Ace_4	1	Ace_4.edf	RIGHT	bg_code	651264.00	6530.31	702	9645	0.9308	false	.	291	1	.	.	1	568	0	522.10	331.20	1	583	1189	0.1429	2	522.10	.	568	.	.	.	.	.	0.9286	13	11	9048	.	6	.	video_area	351	2	11215	208.40	489.30	9062	11566	0.7857	11	466.50	-455.00	2063	2.48	-126.58	11214	13	11190	0	1	1	8426.00	5634.00	.	0	0	0	0	0	0	9645	1024	2	292	1	898	461.70	233.10	9062	11566	0.7857	11	466.50	-455.00	2063	9645	0	.	.	306	2	2063	466.50	217.70	.	.	.	.	.	.	.	66	RECTANGLE	[6, 0, 6]	true	12707154	1	IP_fam_first_trial	true	12696156	Fixations	10362.00	14	1	Trial: 1	12695588	1	[Knock.wav, Knock2.wav, Pheasant.wav, Pheasant2.wav, Squeak1.wav, Squeak2.wav, Squeak3.wav]	(512, 384)	.	0	Ace_4	1	False	41000	(255, 255, 255, 255)	white	w_fly64.mp4	fam	12-4	30.3	4	12	1-4	inanimate_ball_right	fam_inanimate_ball_right_100.mp4
Ace_4	2	Ace_4.edf	RIGHT	bg_code	651264.00	5980.00	702	10740	1.0000	false	.	1476	1	.	.	1	584	0	462.80	318.90	1	10740	11582	1.0000	9	462.80	.	584	.	.	.	.	.	1.0000	9	8	9264	.	6	.	video_area	673	1	10909	797.00	549.20	10740	11582	1.0000	9	462.80	.	584	1.71	-60.90	10908	8	10884	0	1	1	6755.00	5465.00	.	0	0	0	0	0	0	10740	1024	1	2933	1	2104	292.80	319.50	.	.	.	.	.	.	.	10740	0	.	.	761	1	5083	458.70	377.50	.	.	.	.	.	.	.	66	RECTANGLE	[6]	true	12749738	1	IP_fam_first_trial	true	12738740	Fixations	10740.00	9	1	Trial: 2	12738156	1	[Knock.wav, Knock2.wav, Pheasant.wav, Pheasant2.wav, Squeak1.wav, Squeak2.wav, Squeak3.wav]	(512, 384)	.	0	Ace_4	2	False	22000	(255, 255, 255, 255)	white	w_fly64.mp4	new_goal	12-4	30.3	4	12	4	inanimate_elephant_right	test_inanimate_elephant_right_100.mp4
Amy_1	1	Amy_1.edf	RIGHT	bg_code	651264.00	3117.94	702	9010	0.8765	false	.	309	1	.	.	1	165	0	399.20	290.80	1	9010	9849	0.9412	16	399.20	.	165	.	.	.	.	.	0.9412	16	15	8701	.	6	.	video_area	751	1	9099	127.00	421.10	9010	9849	0.9412	16	399.20	.	165	6.84	57.08	9098	15	9053	0	1	1	3348.00	2860.00	.	0	0	0	0	0	0	9010	1024	1	234	1	506	527.20	206.70	.	.	.	.	.	.	.	9010	0	.	.	332	1	790	853.10	403.70	.	.	.	.	.	.	.	66	RECTANGLE	[6, 0]	true	682393	1	IP_fam_first_trial	true	671395	Fixations	10280.00	17	1	Trial: 1	671230	1	[Knock.wav, Knock2.wav, Pheasant.wav, Pheasant2.wav, Squeak1.wav, Squeak2.wav, Squeak3.wav]	(512, 384)	.	0	Amy_1	1	False	41000	(255, 255, 255, 255)	white	w_cuckoo64.mp4	fam	19-1	12	1	19	1-4	inanimate_ball_left	fam_inanimate_ball_left_100.mp4
Amy_1	2	Amy_1.edf	RIGHT	bg_code	651264.00	3702.23	702	6651	0.6765	false	.	1309	1	.	.	1	533	0	412.10	382.90	1	1309	1841	0.0556	1	412.10	.	533	.	.	.	.	.	0.7222	13	8	3487	.	6	.	video_area	207	5	11326	812.80	587.40	207	11533	0.0556	1	812.80	-966.70	11326	5.84	131.92	11325	17	11273	0	1	1	4916.00	3094.00	.	0	0	0	0	0	0	6651	1024	5	345	2	3165	19.70	284.30	880	4107	0.1111	2	19.70	333.50	3165	6651	0	.	.	535	2	3573	395.90	347.70	2773	8091	0.2222	4	180.40	488.70	4972	66	RECTANGLE	[6, 0, 6, 0, 6, 0, 6, 0, 6]	true	724960	1	IP_fam_first_trial	true	713960	Fixations	9832.00	18	1	Trial: 2	713427	1	[Knock.wav, Knock2.wav, Pheasant.wav, Pheasant2.wav, Squeak1.wav, Squeak2.wav, Squeak3.wav]	(512, 384)	.	0	Amy_1	2	False	22000	(255, 255, 255, 255)	white	w_cuckoo64.mp4	new_side	19-1	12	1	19	1	inanimate_ball_right	test_inanimate_ball_right_100.mp4
