RECORDING_SESSION_LABEL	TRIAL_INDEX	DATA_FILE	EYE_USED	GROUPING_VARIABLES	IA_AREA	IA_AVERAGE_FIX_PUPIL_SIZE	IA_BOTTOM	IA_DWELL_TIME	IA_DWELL_TIME_%	IA_DYNAMIC	IA_END_TIME	IA_FIRST_FIXATION_DURATION	IA_FIRST_FIXATION_INDEX	IA_FIRST_FIXATION_PREVIOUS_FIX_IA	IA_FIRST_FIXATION_PREVIOUS_IAREAS	IA_FIRST_FIXATION_RUN_INDEX	IA_FIRST_FIXATION_TIME	IA_FIRST_FIXATION_VISITED_IA_COUNT	IA_FIRST_FIXATION_X	IA_FIRST_FIXATION_Y	IA_FIRST_FIX_PROGRESSIVE	IA_FIRST_RUN_DWELL_TIME	IA_FIRST_RUN_END_TIME	IA_FIRST_RUN_FIXATION_%	IA_FIRST_RUN_FIXATION_COUNT	IA_FIRST_RUN_LANDING_POSITION	IA_FIRST_RUN_LAUNCH_SITE	IA_FIRST_RUN_START_TIME	IA_FIRST_SACCADE_AMPLITUDE	IA_FIRST_SACCADE_ANGLE	IA_FIRST_SACCADE_END_TIME	IA_FIRST_SACCADE_INDEX	IA_FIRST_SACCADE_START_TIME	IA_FIXATION_%	IA_FIXATION_COUNT	IA_FSA_COUNT_6	IA_FSA_DURATION_6	IA_GROUP	IA_ID	IA_INSTANCES_COUNT	IA_LABEL	IA_LAST_FIXATION_DURATION	IA_LAST_FIXATION_RUN	IA_LAST_FIXATION_TIME	IA_LAST_FIXATION_X	IA_LAST_FIXATION_Y	IA_LAST_RUN_DWELL_TIME	IA_LAST_RUN_END_TIME	IA_LAST_RUN_FIXATION_%	IA_LAST_RUN_FIXATION_COUNT	IA_LAST_RUN_LANDING_POSITION	IA_LAST_RUN_LAUNCH_SITE	IA_LAST_RUN_START_TIME	IA_LAST_SACCADE_AMPLITUDE	IA_LAST_SACCADE_ANGLE	IA_LAST_SACCADE_END_TIME	IA_LAST_SACCADE_INDEX	IA_LAST_SACCADE_START_TIME	IA_LEFT	IA_LEGAL	IA_LEGAL_IMMEDIATE	IA_MAX_FIX_PUPIL_SIZE	IA_MIN_FIX_PUPIL_SIZE	IA_POINTS	IA_REGRESSION_IN	IA_REGRESSION_IN_COUNT	IA_REGRESSION_OUT	IA_REGRESSION_OUT_COUNT	IA_REGRESSION_OUT_FULL	IA_REGRESSION_OUT_FULL_COUNT	IA_REGRESSION_PATH_DURATION	IA_RIGHT	IA_RUN_COUNT	IA_SECOND_FIXATION_DURATION	IA_SECOND_FIXATION_RUN	IA_SECOND_FIXATION_TIME	IA_SECOND_FIXATION_X	IA_SECOND_FIXATION_Y	IA_SECOND_RUN_DWELL_TIME	IA_SECOND_RUN_END_TIME	IA_SECOND_RUN_FIXATION_%	IA_SECOND_RUN_FIXATION_COUNT	IA_SECOND_RUN_LANDING_POSITION	IA_SECOND_RUN_LAUNCH_SITE	IA_SECOND_RUN_START_TIME	IA_SELECTIVE_REGRESSION_PATH_DURATION	IA_SKIP	IA_SPILLOVER	IA_START_TIME	IA_THIRD_FIXATION_DURATION	IA_THIRD_FIXATION_RUN	IA_THIRD_FIXATION_TIME	IA_THIRD_FIXATION_X	IA_THIRD_FIXATION_Y	IA_THIRD_RUN_DWELL_TIME	IA_THIRD_RUN_END_TIME	IA_THIRD_RUN_FIXATION_%	IA_THIRD_RUN_FIXATION_COUNT	IA_THIRD_RUN_LANDING_POSITION	IA_THIRD_RUN_LAUNCH_SITE	IA_THIRD_RUN_START_TIME	IA_TOP	IA_TYPE	INTEREST_AREA_FIXATION_SEQUENCE	IP_END_EVENT_MATCHED	IP_END_TIME	IP_INDEX	IP_LABEL	IP_START_EVENT_MATCHED	IP_START_TIME	REPORTING_METHOD	TRIAL_DWELL_TIME	TRIAL_FIXATION_COUNT	TRIAL_IA_COUNT	TRIAL_LABEL	TRIAL_START_TIME	TRIAL_TOTAL_VISITED_IA_COUNT	AG_Audio_LIST	AG_Loc	AG_VIDEO	Drift_Check	Session_Name_	Trial_Index_	Trial_Recycled_	__duration__1	bg_code	bg_name	calibration	condition	dog_session	frame_rate	session_number	sub_id	trial_number	trial_type	video_file
Ace_1	1	Ace_1.edf	RIGHT	bg_code	651264.00	7047.31	702	25308	0.7578	false	.	140	1	.	.	1	300	0	463.60	376.60	1	19861	20856	0.6129	19	463.60	.	300	.	.	.	.	.	0.9355	29	26	22843	.	6	.	video_area	859	3	40441	99.20	397.50	2284	41300	0.2258	7	833.10	-1612.10	38572	3.56	160.34	40440	30	40399	0	1	1	9052.00	5705.00	.	0	0	0	0	0	0	25308	1024	3	3302	1	475	516.50	255.70	3163	32204	0.0968	3	448.20	-1153.30	28912	25308	0	.	.	453	1	3790	483.30	260.20	2284	41300	0.2258	7	833.10	-1612.10	38572	66	RECTANGLE	[6, 0, 6, 0, 6]	true	1927442	2	IP_full_trial_no_fix_trigger	true	1886442	Fixations	33396.00	31	1	Trial: 1	1886142	1	[Knock.wav, Knock2.wav, Pheasant.wav, Pheasant2.wav, Squeak1.wav, Squeak2.wav, Squeak3.wav]	(512, 384)	.	0	Ace_1	1	False	41000	(255, 255, 255, 255)	white	w_minion64.mp4	fam	12-1	30.3	1	12	1-4	human_elephant_left	fam_human_elephant_left_100.mp4
Ace_1	2	Ace_1.edf	RIGHT	bg_code	651264.00	6538.10	702	21712	1.0000	false	.	180	1	.	.	1	301	0	463.20	338.70	1	21712	22302	1.0000	10	463.20	.	301	.	.	.	.	.	1.0000	10	9	21532	.	6	.	video_area	11399	1	10903	336.50	239.30	21712	22302	1.0000	10	463.20	.	301	0.53	-162.03	10902	9	10892	0	1	1	7383.00	5983.00	.	0	0	0	0	0	0	21712	1024	1	384	1	490	462.50	322.20	.	.	.	.	.	.	.	21712	0	.	.	771	1	886	488.50	311.20	.	.	.	.	.	.	.	66	RECTANGLE	[6]	true	1950762	2	IP_full_trial_no_fix_trigger	true	1928761	Fixations	21712.00	10	1	Trial: 2	1928460	1	[Knock.wav, Knock2.wav, Pheasant.wav, Pheasant2.wav, Squeak1.wav, Squeak2.wav, Squeak3.wav]	(512, 384)	.	0	Ace_1	2	False	22000	(255, 255, 255, 255)	white	w_minion64.mp4	new_goal	12-1	30.3	1	12	1	human_ball_left	test_human_ball_left_100.mp4
Ace_2	1	Ace_2.edf	RIGHT	bg_code	651264.00	6558.07	702	30600	0.8391	false	.	1057	1	.	.	1	879	0	533.60	262.00	1	10879	12343	0.2500	12	533.60	.	879	.	.	.	.	.	0.8750	42	36	22016	.	6	.	video_area	1739	6	40124	402.60	155.10	1739	41862	0.0208	1	402.60	-970.80	40124	13.07	-6.62	40123	47	39445	0	1	1	7449.00	5699.00	.	0	0	0	0	0	0	30600	1024	6	1651	1	1984	597.30	127.10	464	13380	0.0208	1	763.70	-519.30	12917	30600	0	.	.	181	1	3679	537.50	288.00	2985	17606	0.0625	3	864.00	-592.20	14502	66	RECTANGLE	[6, 0, 6, 0, 6, 0, 6, 0, 6, 0, 6]	true	3043810	2	IP_full_trial_no_fix_trigger	true	3002812	Fixations	36467.00	48	1	Trial: 1	3001933	1	[Knock.wav, Knock2.wav, Pheasant.wav, Pheasant2.wav, Squeak1.wav, Squeak2.wav, Squeak3.wav]	(512, 384)	.	0	Ace_2	1	False	41000	(255, 255, 255, 255)	white	w_fly64.mp4	fam	12-2	30.3	2	12	1-4	human_elephant_left	fam_human_elephant_left_100.mp4
Ace_2	2	Ace_2.edf	RIGHT	bg_code	651264.00	6199.71	702	16181	1.0000	false	.	130	1	.	.	1	735	0	514.10	397.70	1	16181	18754	1.0000	21	514.10	.	735	.	.	.	.	.	1.0000	21	20	16051	.	6	.	video_area	31	1	18724	739.70	240.10	16181	18754	1.0000	21	514.10	.	735	0.84	-109.77	18723	20	18709	0	1	1	7325.00	5490.00	.	0	0	0	0	0	0	16181	1024	1	280	1	893	449.70	328.00	.	.	.	.	.	.	.	16181	0	.	.	198	1	1233	782.40	485.90	.	.	.	.	.	.	.	66	RECTANGLE	[6]	true	3067415	2	IP_full_trial_no_fix_trigger	true	3045412	Fixations	16181.00	21	1	Trial: 2	3044677	1	[Knock.wav, Knock2.wav, Pheasant.wav, Pheasant2.wav, Squeak1.wav, Squeak2.wav, Squeak3.wav]	(512, 384)	.	0	Ace_2	2	False	22000	(255, 255, 255, 255)	white	w_fly64.mp4	new_side	12-2	30.3	2	12	2	human_elephant_right	test_human_elephant_right_100.mp4
Ace_3	1	Ace_3.edf	RIGHT	bg_code	651264.00	7446.50	702	35685	0.9077	false	.	223	1	.	.	1	542	0	508.30	353.60	1	620	1205	0.0909	3	508.30	.	542	.	.	.	.	.	0.8485	28	23	31686	.	6	.	video_area	3029	5	38534	467.40	199.00	4438	41563	0.1212	4	481.50	-274.60	36862	13.76	146.57	38533	32	38407	0	1	1	8934.00	5149.00	.	0	0	0	0	0	0	35685	1024	5	264	1	787	503.00	280.30	9488	11481	0.3333	11	165.70	-480.70	1585	35685	0	.	.	133	1	1073	462.70	198.20	11544	24443	0.1818	6	165.40	-431.30	12669	66	RECTANGLE	[6, 0, 6, 0, 6, 0, 6, 0, 6]	true	6066292	2	IP_full_trial_no_fix_trigger	true	6025271	Fixations	39312.00	33	1	Trial: 1	6024729	1	[Knock.wav, Knock2.wav, Pheasant.wav, Pheasant2.wav, Squeak1.wav, Squeak2.wav, Squeak3.wav]	(512, 384)	.	0	Ace_3	1	False	41000	(255, 255, 255, 255)	white	w_fly64.mp4	fam	12-3	30.3	3	12	1-4	inanimate_ball_right	fam_inanimate_ball_right_100.mp4
Ace_3	2	Ace_3.edf	RIGHT	bg_code	651264.00	8296.11	702	20843	1.0000	false	.	1319	1	.	.	1	755	0	502.70	245.80	1	20843	22758	1.0000	9	502.70	.	755	.	.	.	.	.	1.0000	9	8	19524	.	6	.	video_area	11849	1	10909	355.30	213.60	20843	22758	1.0000	9	502.70	.	755	0.73	50.10	10908	8	10893	0	1	1	9223.00	7233.00	.	0	0	0	0	0	0	20843	1024	1	1319	1	2170	236.70	114.00	.	.	.	.	.	.	.	20843	0	.	.	1122	1	3614	107.40	124.80	.	.	.	.	.	.	.	66	RECTANGLE	[6]	true	6090233	2	IP_full_trial_no_fix_trigger	true	6068230	Fixations	20843.00	9	1	Trial: 2	6067475	1	[Knock.wav, Knock2.wav, Pheasant.wav, Pheasant2.wav, Squeak1.wav, Squeak2.wav, Squeak3.wav]	(512, 384)	.	0	Ace_3	2	False	22000	(255, 255, 255, 255)	white	w_fly64.mp4	new_side	12-3	30.3	3	12	3	inanimate_ball_left	test_inanimate_ball_left_100.mp4
Ace_4	1	Ace_4.edf	RIGHT	bg_code	651264.00	6610.80	702	34871	0.9459	false	.	291	1	.	.	1	568	0	522.10	331.20	1	583	1189	0.0606	2	522.10	.	568	.	.	.	.	.	0.9091	30	26	28997	.	6	.	video_area	179	4	41387	376.60	301.00	8142	41566	0.2121	7	323.30	38.80	33096	8.27	-177.24	41386	32	41299	0	1	1	8426.00	5391.00	.	0	0	0	0	0	0	34871	1024	4	292	1	898	461.70	233.10	20972	23818	0.5758	19	466.50	-455.00	2063	34871	0	.	.	306	2	2063	466.50	217.70	5174	30163	0.0606	2	410.30	-370.80	24851	66	RECTANGLE	[6, 0, 6, 0, 6, 0, 6]	true	12737154	2	IP_full_trial_no_fix_trigger	true	12696156	Fixations	36865.00	33	1	Trial: 1	12695588	1	[Knock.wav, Knock2.wav, Pheasant.wav, Pheasant2.wav, Squeak1.wav, Squeak2.wav, Squeak3.wav]	(512, 384)	.	0	Ace_4	1	False	41000	(255, 255, 255, 255)	white	w_fly64.mp4	fam	12-4	30.3	4	12	1-4	inanimate_ball_right	fam_inanimate_ball_right_100.mp4
Ace_4	2	Ace_4.edf	RIGHT	bg_code	651264.00	6433.29	702	17129	1.0000	false	.	1476	1	.	.	1	584	0	462.80	318.90	1	17129	18144	1.0000	14	462.80	.	584	.	.	.	.	.	1.0000	14	13	15653	.	6	.	video_area	74	1	18071	455.70	198.00	17129	18144	1.0000	14	462.80	.	584	11.33	148.92	18070	13	17986	0	1	1	8760.00	5465.00	.	0	0	0	0	0	0	17129	1024	1	2933	1	2104	292.80	319.50	.	.	.	.	.	.	.	17129	0	.	.	761	1	5083	458.70	377.50	.	.	.	.	.	.	.	66	RECTANGLE	[6]	true	12760739	2	IP_full_trial_no_fix_trigger	true	12738740	Fixations	17129.00	14	1	Trial: 2	12738156	1	[Knock.wav, Knock2.wav, Pheasant.wav, Pheasant2.wav, Squeak1.wav, Squeak2.wav, Squeak3.wav]	(512, 384)	.	0	Ace_4	2	False	22000	(255, 255, 255, 255)	white	w_fly64.mp4	new_goal	12-4	30.3	4	12	4	inanimate_elephant_right	test_inanimate_elephant_right_100.mp4
Amy_1	1	Amy_1.edf	RIGHT	bg_code	651264.00	3303.70	702	31932	0.8541	false	.	309	1	.	.	1	165	0	399.20	290.80	1	9010	9849	0.3404	16	399.20	.	165	.	.	.	.	.	0.8511	40	36	28444	.	6	.	video_area	208	4	38394	345.80	396.60	3156	38601	0.1277	6	297.20	7.90	34620	1.46	-127.95	38393	42	37931	0	1	1	3786.00	2835.00	.	0	0	0	0	0	0	31932	1024	4	234	1	506	527.20	206.70	15641	28783	0.3191	15	100.90	28.80	12444	31932	0	.	.	332	1	790	853.10	403.70	4125	33335	0.0638	3	267.70	428.30	29143	66	RECTANGLE	[6, 0, 6, 0, 6, 0, 6, 0]	true	712419	2	IP_full_trial_no_fix_trigger	true	671395	Fixations	37386.00	47	1	Trial: 1	671230	1	[Knock.wav, Knock2.wav, Pheasant.wav, Pheasant2.wav, Squeak1.wav, Squeak2.wav, Squeak3.wav]	(512, 384)	.	0	Amy_1	1	False	41000	(255, 255, 255, 255)	white	w_cuckoo64.mp4	fam	19-1	12	1	19	1-4	inanimate_ball_left	fam_inanimate_ball_left_100.mp4
Amy_1	2	Amy_1.edf	RIGHT	bg_code	651264.00	3645.88	702	9594	0.4761	false	.	1309	1	.	.	1	533	0	412.10	382.90	1	1309	1841	0.0417	1	412.10	.	533	.	.	.	.	.	0.6667	16	8	3487	.	6	.	video_area	1778	8	20705	632.80	336.20	1778	22482	0.0417	1	632.80	29.70	20705	21.25	23.10	20704	23	20616	0	1	1	4916.00	3094.00	.	0	0	0	0	0	0	9594	1024	8	345	2	3165	19.70	284.30	880	4107	0.0833	2	19.70	333.50	3165	9594	0	.	.	535	2	3573	395.90	347.70	2773	8091	0.1667	4	180.40	488.70	4972	66	RECTANGLE	[6, 0, 6, 0, 6, 0, 6, 0, 6, 0, 6, 0, 6, 0, 6]	true	735960	2	IP_full_trial_no_fix_trigger	true	713960	Fixations	20150.00	24	1	Trial: 2	713427	1	[Knock.wav, Knock2.wav, Pheasant.wav, Pheasant2.wav, Squeak1.wav, Squeak2.wav, Squeak3.wav]	(512, 384)	.	0	Amy_1	2	False	22000	(255, 255, 255, 255)	white	w_cuckoo64.mp4	new_side	19-1	12	1	19	1	inanimate_ball_right	test_inanimate_ball_right_100.mp4
