RECORDING_SESSION_LABEL	TRIAL_INDEX	DATA_FILE	EYE_USED	GROUPING_VARIABLES	IA_AREA	IA_AVERAGE_FIX_PUPIL_SIZE	IA_BOTTOM	IA_DWELL_TIME	IA_DWELL_TIME_%	IA_DYNAMIC	IA_END_TIME	IA_FIRST_FIXATION_DURATION	IA_FIRST_FIXATION_INDEX	IA_FIRST_FIXATION_PREVIOUS_FIX_IA	IA_FIRST_FIXATION_PREVIOUS_IAREAS	IA_FIRST_FIXATION_RUN_INDEX	IA_FIRST_FIXATION_TIME	IA_FIRST_FIXATION_VISITED_IA_COUNT	IA_FIRST_FIXATION_X	IA_FIRST_FIXATION_Y	IA_FIRST_FIX_PROGRESSIVE	IA_FIRST_RUN_DWELL_TIME	IA_FIRST_RUN_END_TIME	IA_FIRST_RUN_FIXATION_%	IA_FIRST_RUN_FIXATION_COUNT	IA_FIRST_RUN_LANDING_POSITION	IA_FIRST_RUN_LAUNCH_SITE	IA_FIRST_RUN_START_TIME	IA_FIRST_SACCADE_AMPLITUDE	IA_FIRST_SACCADE_ANGLE	IA_FIRST_SACCADE_END_TIME	IA_FIRST_SACCADE_INDEX	IA_FIRST_SACCADE_START_TIME	IA_FIXATION_%	IA_FIXATION_COUNT	IA_FSA_COUNT_2	IA_FSA_COUNT_4	IA_FSA_COUNT_5	IA_FSA_COUNT_1	IA_FSA_COUNT_3	IA_FSA_COUNT_6	IA_FSA_COUNT_7	IA_FSA_DURATION_2	IA_FSA_DURATION_4	IA_FSA_DURATION_5	IA_FSA_DURATION_1	IA_FSA_DURATION_3	IA_FSA_DURATION_6	IA_FSA_DURATION_7	IA_GROUP	IA_ID	IA_INSTANCES_COUNT	IA_LABEL	IA_LAST_FIXATION_DURATION	IA_LAST_FIXATION_RUN	IA_LAST_FIXATION_TIME	IA_LAST_FIXATION_X	IA_LAST_FIXATION_Y	IA_LAST_RUN_DWELL_TIME	IA_LAST_RUN_END_TIME	IA_LAST_RUN_FIXATION_%	IA_LAST_RUN_FIXATION_COUNT	IA_LAST_RUN_LANDING_POSITION	IA_LAST_RUN_LAUNCH_SITE	IA_LAST_RUN_START_TIME	IA_LAST_SACCADE_AMPLITUDE	IA_LAST_SACCADE_ANGLE	IA_LAST_SACCADE_END_TIME	IA_LAST_SACCADE_INDEX	IA_LAST_SACCADE_START_TIME	IA_LEFT	IA_LEGAL	IA_LEGAL_IMMEDIATE	IA_MAX_FIX_PUPIL_SIZE	IA_MIN_FIX_PUPIL_SIZE	IA_POINTS	IA_REGRESSION_IN	IA_REGRESSION_IN_COUNT	IA_REGRESSION_OUT	IA_REGRESSION_OUT_COUNT	IA_REGRESSION_OUT_FULL	IA_REGRESSION_OUT_FULL_COUNT	IA_REGRESSION_PATH_DURATION	IA_RIGHT	IA_RUN_COUNT	IA_SECOND_FIXATION_DURATION	IA_SECOND_FIXATION_RUN	IA_SECOND_FIXATION_TIME	IA_SECOND_FIXATION_X	IA_SECOND_FIXATION_Y	IA_SECOND_RUN_DWELL_TIME	IA_SECOND_RUN_END_TIME	IA_SECOND_RUN_FIXATION_%	IA_SECOND_RUN_FIXATION_COUNT	IA_SECOND_RUN_LANDING_POSITION	IA_SECOND_RUN_LAUNCH_SITE	IA_SECOND_RUN_START_TIME	IA_SELECTIVE_REGRESSION_PATH_DURATION	IA_SKIP	IA_SPILLOVER	IA_START_TIME	IA_THIRD_FIXATION_DURATION	IA_THIRD_FIXATION_RUN	IA_THIRD_FIXATION_TIME	IA_THIRD_FIXATION_X	IA_THIRD_FIXATION_Y	IA_THIRD_RUN_DWELL_TIME	IA_THIRD_RUN_END_TIME	IA_THIRD_RUN_FIXATION_%	IA_THIRD_RUN_FIXATION_COUNT	IA_THIRD_RUN_LANDING_POSITION	IA_THIRD_RUN_LAUNCH_SITE	IA_THIRD_RUN_START_TIME	IA_TOP	IA_TYPE	INTEREST_AREA_FIXATION_SEQUENCE	IP_END_EVENT_MATCHED	IP_END_TIME	IP_INDEX	IP_LABEL	IP_START_EVENT_MATCHED	IP_START_TIME	REPORTING_METHOD	TRIAL_DWELL_TIME	TRIAL_FIXATION_COUNT	TRIAL_IA_COUNT	TRIAL_LABEL	TRIAL_START_TIME	TRIAL_TOTAL_VISITED_IA_COUNT	AG_Audio_LIST	AG_Loc	AG_VIDEO	Drift_Check	Session_Name_	Trial_Index_	Trial_Recycled_	__duration__1	bg_code	bg_name	calibration	condition	dog_session	frame_rate	session_number	sub_id	trial_number	trial_type	video_file
Ace_1	1	Ace_1.edf	RIGHT	video_file	52900.00	7093.67	655	1154	0.0405	false	.	88	4	5	[5]	2	7165	1	181.30	535.50	0	544	7731	0.0714	2	153.30	-307.40	7165	10.47	-117.89	7164	3	7101	0.1071	3	1	0	1	.	.	.	.	456	0	107	.	.	.	.	.	2	.	elephant_left_AOI	610	2	39789	250.50	434.30	610	40398	0.0357	1	222.50	-270.00	39789	0.45	-142.65	39788	26	39773	28	0	0	7601.00	6751.00	.	1	1	0	0	0	0	544	258	2	456	1	7276	163.70	454.60	610	40398	0.0357	1	222.50	-270.00	39789	544	1	.	.	610	2	39789	250.50	434.30	.	.	.	.	.	.	.	425	RECTANGLE	[5, 2, 5, 0, 2, 0]	true	1927442	4	IP_after_agent_directional_cue	true	1891379	Fixations	28516.00	28	3	Trial: 1	1886142	2	[Knock.wav, Knock2.wav, Pheasant.wav, Pheasant2.wav, Squeak1.wav, Squeak2.wav, Squeak3.wav]	(512, 384)	.	0	Ace_1	1	False	41000	(255, 255, 255, 255)	white	w_minion64.mp4	fam	12-1	30.3	1	12	1-4	human_elephant_left	fam_human_elephant_left_100.mp4
Ace_1	1	Ace_1.edf	RIGHT	video_file	52900.00	.	655	0	0.0000	false	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	0.0000	0	0	0	0	.	.	.	.	0	0	0	.	.	.	.	.	4	.	ball_right_AOI	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	802	0	0	.	.	.	.	.	.	.	.	.	.	1032	0	.	.	.	.	.	.	.	.	.	.	.	.	.	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	425	RECTANGLE	[5, 2, 5, 0, 2, 0]	true	1927442	4	IP_after_agent_directional_cue	true	1891379	Fixations	28516.00	28	3	Trial: 1	1886142	2	[Knock.wav, Knock2.wav, Pheasant.wav, Pheasant2.wav, Squeak1.wav, Squeak2.wav, Squeak3.wav]	(512, 384)	.	0	Ace_1	1	False	41000	(255, 255, 255, 255)	white	w_minion64.mp4	fam	12-1	30.3	1	12	1-4	human_elephant_left	fam_human_elephant_left_100.mp4
Ace_1	1	Ace_1.edf	RIGHT	video_file	83671.18	6665.00	500	4204	0.1474	true	6057	209	1	.	.	1	5237	0	449.00	260.20	1	1607	7252	0.1429	4	100.40	.	5237	.	.	.	.	.	0.2500	7	1	0	4	.	.	.	.	88	0	4151	.	.	.	.	.	5	35	fam_dyn_human_ball_left	901	2	9607	285.10	206.50	2597	10508	0.1071	3	62.20	292.30	7789	0.53	-154.70	9606	7	9593	456	0	0	7069.00	6017.00	.	0	0	1	1	1	1	5653	604	2	1033	1	5493	387.10	255.50	2597	10508	0.1071	3	62.20	292.30	7789	4499	0	.	-4937	359	1	6678	335.40	234.00	.	.	.	.	.	.	.	199	RECTANGLE	[5, 2, 5, 0, 2, 0]	true	1927442	4	IP_after_agent_directional_cue	true	1891379	Fixations	28516.00	28	3	Trial: 1	1886142	2	[Knock.wav, Knock2.wav, Pheasant.wav, Pheasant2.wav, Squeak1.wav, Squeak2.wav, Squeak3.wav]	(512, 384)	.	0	Ace_1	1	False	41000	(255, 255, 255, 255)	white	w_minion64.mp4	fam	12-1	30.3	1	12	1-4	human_elephant_left	fam_human_elephant_left_100.mp4
Ace_1	2	Ace_1.edf	RIGHT	video_file	67600.00	.	652	0	0.0000	false	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	0.0000	0	0	0	0	0	0	.	.	0	0	0	0	0	.	.	.	1	.	elephant_right_AOI	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	749	0	0	.	.	.	.	.	.	.	.	.	.	1009	0	.	.	.	.	.	.	.	.	.	.	.	.	.	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	392	RECTANGLE	[5]	true	1950762	4	IP_after_agent_directional_cue	true	1933700	Fixations	16991.00	6	5	Trial: 2	1928460	1	[Knock.wav, Knock2.wav, Pheasant.wav, Pheasant2.wav, Squeak1.wav, Squeak2.wav, Squeak3.wav]	(512, 384)	.	0	Ace_1	2	False	22000	(255, 255, 255, 255)	white	w_minion64.mp4	new_goal	12-1	30.3	1	12	1	human_ball_left	test_human_ball_left_100.mp4
Ace_1	2	Ace_1.edf	RIGHT	video_file	67600.00	.	652	0	0.0000	false	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	0.0000	0	0	0	0	0	0	.	.	0	0	0	0	0	.	.	.	2	.	ball_left_AOI	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	0	0	0	.	.	.	.	.	.	.	.	.	.	260	0	.	.	.	.	.	.	.	.	.	.	.	.	.	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	392	RECTANGLE	[5]	true	1950762	4	IP_after_agent_directional_cue	true	1933700	Fixations	16991.00	6	5	Trial: 2	1928460	1	[Knock.wav, Knock2.wav, Pheasant.wav, Pheasant2.wav, Squeak1.wav, Squeak2.wav, Squeak3.wav]	(512, 384)	.	0	Ace_1	2	False	22000	(255, 255, 255, 255)	white	w_minion64.mp4	new_goal	12-1	30.3	1	12	1	human_ball_left	test_human_ball_left_100.mp4
Ace_1	2	Ace_1.edf	RIGHT	video_file	52900.00	.	625	0	0.0000	false	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	0.0000	0	0	0	0	0	0	.	.	0	0	0	0	0	.	.	.	3	.	ball_left_AOI_AL	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	0	0	0	.	.	.	.	.	.	.	.	.	.	230	0	.	.	.	.	.	.	.	.	.	.	.	.	.	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	395	RECTANGLE	[5]	true	1950762	4	IP_after_agent_directional_cue	true	1933700	Fixations	16991.00	6	5	Trial: 2	1928460	1	[Knock.wav, Knock2.wav, Pheasant.wav, Pheasant2.wav, Squeak1.wav, Squeak2.wav, Squeak3.wav]	(512, 384)	.	0	Ace_1	2	False	22000	(255, 255, 255, 255)	white	w_minion64.mp4	new_goal	12-1	30.3	1	12	1	human_ball_left	test_human_ball_left_100.mp4
Ace_1	2	Ace_1.edf	RIGHT	video_file	52900.00	.	625	0	0.0000	false	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	0.0000	0	0	0	0	0	0	.	.	0	0	0	0	0	.	.	.	4	.	elephant_right_AOI_AL	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	760	0	0	.	.	.	.	.	.	.	.	.	.	990	0	.	.	.	.	.	.	.	.	.	.	.	.	.	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	395	RECTANGLE	[5]	true	1950762	4	IP_after_agent_directional_cue	true	1933700	Fixations	16991.00	6	5	Trial: 2	1928460	1	[Knock.wav, Knock2.wav, Pheasant.wav, Pheasant2.wav, Squeak1.wav, Squeak2.wav, Squeak3.wav]	(512, 384)	.	0	Ace_1	2	False	22000	(255, 255, 255, 255)	white	w_minion64.mp4	new_goal	12-1	30.3	1	12	1	human_ball_left	test_human_ball_left_100.mp4
Ace_1	2	Ace_1.edf	RIGHT	video_file	71661.72	6551.67	510	16346	0.9620	true	17062	517	1	.	.	1	5240	0	447.10	277.20	1	16346	22302	1.0000	6	17.10	.	5240	.	.	.	.	.	1.0000	6	0	0	5	0	0	.	.	0	0	16474	0	0	.	.	.	5	32	human_ball_left	11337	1	10903	336.50	239.30	16346	22302	1.0000	6	17.10	.	5240	0.53	-162.03	10902	5	10892	430	0	0	7383.00	5983.00	.	0	0	0	0	0	0	16991	563	1	1563	1	5781	485.30	312.80	.	.	.	.	.	.	.	16991	0	.	-4939	366	1	7623	423.00	260.50	.	.	.	.	.	.	.	200	RECTANGLE	[5]	true	1950762	4	IP_after_agent_directional_cue	true	1933700	Fixations	16991.00	6	5	Trial: 2	1928460	1	[Knock.wav, Knock2.wav, Pheasant.wav, Pheasant2.wav, Squeak1.wav, Squeak2.wav, Squeak3.wav]	(512, 384)	.	0	Ace_1	2	False	22000	(255, 255, 255, 255)	white	w_minion64.mp4	new_goal	12-1	30.3	1	12	1	human_ball_left	test_human_ball_left_100.mp4
Ace_2	1	Ace_2.edf	RIGHT	video_file	52900.00	.	655	0	0.0000	false	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	0.0000	0	0	0	0	.	.	.	.	0	0	0	.	.	.	.	.	2	.	elephant_left_AOI	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	28	0	0	.	.	.	.	.	.	.	.	.	.	258	0	.	.	.	.	.	.	.	.	.	.	.	.	.	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	425	RECTANGLE	[0, 5, 0, 5, 0, 5, 0]	true	3043810	4	IP_after_agent_directional_cue	true	3007751	Fixations	31845.00	45	3	Trial: 1	3001933	1	[Knock.wav, Knock2.wav, Pheasant.wav, Pheasant2.wav, Squeak1.wav, Squeak2.wav, Squeak3.wav]	(512, 384)	.	0	Ace_2	1	False	41000	(255, 255, 255, 255)	white	w_fly64.mp4	fam	12-2	30.3	2	12	1-4	human_elephant_left	fam_human_elephant_left_100.mp4
Ace_2	1	Ace_2.edf	RIGHT	video_file	52900.00	.	655	0	0.0000	false	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	0.0000	0	0	0	0	.	.	.	.	0	0	0	.	.	.	.	.	4	.	ball_right_AOI	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	802	0	0	.	.	.	.	.	.	.	.	.	.	1032	0	.	.	.	.	.	.	.	.	.	.	.	.	.	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	425	RECTANGLE	[0, 5, 0, 5, 0, 5, 0]	true	3043810	4	IP_after_agent_directional_cue	true	3007751	Fixations	31845.00	45	3	Trial: 1	3001933	1	[Knock.wav, Knock2.wav, Pheasant.wav, Pheasant2.wav, Squeak1.wav, Squeak2.wav, Squeak3.wav]	(512, 384)	.	0	Ace_2	1	False	41000	(255, 255, 255, 255)	white	w_fly64.mp4	fam	12-2	30.3	2	12	1-4	human_elephant_left	fam_human_elephant_left_100.mp4
