RECORDING_SESSION_LABEL	TRIAL_INDEX	AG_Audio_LIST	AG_Loc	AG_VIDEO	Drift_Check	Session_Name_	Trial_Index_	Trial_Recycled_	bg_code	bg_name	calibration	condition	dog_session	frame_rate	session	target	target_location	trial_within_block	video_file	video_latency	DATA_FILE	EYE_USED	GROUPING_VARIABLES	IA_AREA	IA_AVERAGE_FIX_PUPIL_SIZE	IA_BOTTOM	IA_DWELL_TIME	IA_DWELL_TIME_%	IA_DYNAMIC	IA_END_TIME	IA_FIRST_FIXATION_DURATION	IA_FIRST_FIXATION_INDEX	IA_FIRST_FIXATION_PREVIOUS_FIX_IA	IA_FIRST_FIXATION_PREVIOUS_IAREAS	IA_FIRST_FIXATION_RUN_INDEX	IA_FIRST_FIXATION_TIME	IA_FIRST_FIXATION_VISITED_IA_COUNT	IA_FIRST_FIXATION_X	IA_FIRST_FIXATION_Y	IA_FIRST_FIX_PROGRESSIVE	IA_FIRST_RUN_DWELL_TIME	IA_FIRST_RUN_END_TIME	IA_FIRST_RUN_FIXATION_%	IA_FIRST_RUN_FIXATION_COUNT	IA_FIRST_RUN_LANDING_POSITION	IA_FIRST_RUN_LAUNCH_SITE	IA_FIRST_RUN_START_TIME	IA_FIRST_SACCADE_AMPLITUDE	IA_FIRST_SACCADE_ANGLE	IA_FIRST_SACCADE_END_TIME	IA_FIRST_SACCADE_INDEX	IA_FIRST_SACCADE_START_TIME	IA_FIXATION_%	IA_FIXATION_COUNT	IA_FSA_COUNT_3	IA_FSA_COUNT_4	IA_FSA_COUNT_5	IA_FSA_COUNT_6	IA_FSA_COUNT_7	IA_FSA_DURATION_3	IA_FSA_DURATION_4	IA_FSA_DURATION_5	IA_FSA_DURATION_6	IA_FSA_DURATION_7	IA_GROUP	IA_ID	IA_INSTANCES_COUNT	IA_LABEL	IA_LAST_FIXATION_DURATION	IA_LAST_FIXATION_RUN	IA_LAST_FIXATION_TIME	IA_LAST_FIXATION_X	IA_LAST_FIXATION_Y	IA_LAST_RUN_DWELL_TIME	IA_LAST_RUN_END_TIME	IA_LAST_RUN_FIXATION_%	IA_LAST_RUN_FIXATION_COUNT	IA_LAST_RUN_LANDING_POSITION	IA_LAST_RUN_LAUNCH_SITE	IA_LAST_RUN_START_TIME	IA_LAST_SACCADE_AMPLITUDE	IA_LAST_SACCADE_ANGLE	IA_LAST_SACCADE_END_TIME	IA_LAST_SACCADE_INDEX	IA_LAST_SACCADE_START_TIME	IA_LEFT	IA_LEGAL	IA_LEGAL_IMMEDIATE	IA_MAX_FIX_PUPIL_SIZE	IA_MIN_FIX_PUPIL_SIZE	IA_POINTS	IA_REGRESSION_IN	IA_REGRESSION_IN_COUNT	IA_REGRESSION_OUT	IA_REGRESSION_OUT_COUNT	IA_REGRESSION_OUT_FULL	IA_REGRESSION_OUT_FULL_COUNT	IA_REGRESSION_PATH_DURATION	IA_RIGHT	IA_RUN_COUNT	IA_SECOND_FIXATION_DURATION	IA_SECOND_FIXATION_RUN	IA_SECOND_FIXATION_TIME	IA_SECOND_FIXATION_X	IA_SECOND_FIXATION_Y	IA_SECOND_RUN_DWELL_TIME	IA_SECOND_RUN_END_TIME	IA_SECOND_RUN_FIXATION_%	IA_SECOND_RUN_FIXATION_COUNT	IA_SECOND_RUN_LANDING_POSITION	IA_SECOND_RUN_LAUNCH_SITE	IA_SECOND_RUN_START_TIME	IA_SELECTIVE_REGRESSION_PATH_DURATION	IA_SKIP	IA_SPILLOVER	IA_START_TIME	IA_THIRD_FIXATION_DURATION	IA_THIRD_FIXATION_RUN	IA_THIRD_FIXATION_TIME	IA_THIRD_FIXATION_X	IA_THIRD_FIXATION_Y	IA_THIRD_RUN_DWELL_TIME	IA_THIRD_RUN_END_TIME	IA_THIRD_RUN_FIXATION_%	IA_THIRD_RUN_FIXATION_COUNT	IA_THIRD_RUN_LANDING_POSITION	IA_THIRD_RUN_LAUNCH_SITE	IA_THIRD_RUN_START_TIME	IA_TOP	IA_TYPE	INTEREST_AREA_FIXATION_SEQUENCE	IP_END_EVENT_MATCHED	IP_END_TIME	IP_INDEX	IP_LABEL	IP_START_EVENT_MATCHED	IP_START_TIME	REPORTING_METHOD	TRIAL_DWELL_TIME	TRIAL_FIXATION_COUNT	TRIAL_IA_COUNT	TRIAL_LABEL	TRIAL_START_TIME	TRIAL_TOTAL_VISITED_IA_COUNT
Ace_1	1	[Knock.wav, Knock2.wav, Pheasant.wav, Pheasant2.wav, Squeak1.wav, Squeak2.wav, Squeak3.wav]	(512, 384)	.	0	Ace_1	1	False	(255, 255, 255, 255)	white	w_minion32.mp4	hand	05_1	30.3	1	duck	down	1	hu_reach_dw_b_blue.mp4	15160	Ace_1.edf	RIGHT	condition: target_location	62500.00	6866.00	300	1292	0.4128	false	.	1292	1	.	.	1	12157	0	159.30	111.90	1	1292	13448	0.5000	1	159.30	.	12157	0.67	-151.31	12156	.	12140	0.5000	1	0	0	0	0	.	0	0	0	0	.	.	3	.	upper_IA_large	1292	1	12157	159.30	111.90	1292	13448	0.5000	1	159.30	.	12157	0.67	-151.31	12156	.	12140	0	1	1	6866.00	6866.00	.	0	0	0	0	0	0	1292	250	1	.	.	.	.	.	.	.	.	.	.	.	.	1292	0	.	.	.	.	.	.	.	.	.	.	.	.	.	.	50	RECTANGLE	[3, 0]	true	3475855	2	video_IP_end	true	3472647	Fixations	3130.00	2	4	Trial: 1	3460496	1
Ace_1	1	[Knock.wav, Knock2.wav, Pheasant.wav, Pheasant2.wav, Squeak1.wav, Squeak2.wav, Squeak3.wav]	(512, 384)	.	0	Ace_1	1	False	(255, 255, 255, 255)	white	w_minion32.mp4	hand	05_1	30.3	1	duck	down	1	hu_reach_dw_b_blue.mp4	15160	Ace_1.edf	RIGHT	condition: target_location	62500.00	.	705	0	0.0000	false	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	0.0000	0	0	0	0	0	.	0	0	0	0	.	.	4	.	lower_IA_large	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	0	0	0	.	.	.	.	.	.	.	.	.	.	250	0	.	.	.	.	.	.	.	.	.	.	.	.	.	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	455	RECTANGLE	[3, 0]	true	3475855	2	video_IP_end	true	3472647	Fixations	3130.00	2	4	Trial: 1	3460496	1
Ace_1	1	[Knock.wav, Knock2.wav, Pheasant.wav, Pheasant2.wav, Squeak1.wav, Squeak2.wav, Squeak3.wav]	(512, 384)	.	0	Ace_1	1	False	(255, 255, 255, 255)	white	w_minion32.mp4	hand	05_1	30.3	1	duck	down	1	hu_reach_dw_b_blue.mp4	15160	Ace_1.edf	RIGHT	condition: target_location	199798.45	.	495	0	0.0000	true	-9751	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	0.0000	0	0	0	0	0	.	0	0	0	0	.	.	5	20	hand_down	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	591	0	0	.	.	.	.	.	.	.	.	.	.	1023	0	.	.	.	.	.	.	.	.	.	.	.	.	.	1	.	-11962	.	.	.	.	.	.	.	.	.	.	.	.	250	RECTANGLE	[3, 0]	true	3475855	2	video_IP_end	true	3472647	Fixations	3130.00	2	4	Trial: 1	3460496	1
Ace_1	1	[Knock.wav, Knock2.wav, Pheasant.wav, Pheasant2.wav, Squeak1.wav, Squeak2.wav, Squeak3.wav]	(512, 384)	.	0	Ace_1	1	False	(255, 255, 255, 255)	white	w_minion32.mp4	hand	05_1	30.3	1	duck	down	1	hu_reach_dw_b_blue.mp4	15160	Ace_1.edf	RIGHT	condition: target_location	161560.40	.	501	0	0.0000	true	3208	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	0.0000	0	0	0	0	0	.	0	0	0	0	.	.	6	20	test_hand	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	625	0	0	.	.	.	.	.	.	.	.	.	.	1024	0	.	.	.	.	.	.	.	.	.	.	.	.	.	1	.	-1734	.	.	.	.	.	.	.	.	.	.	.	.	248	RECTANGLE	[3, 0]	true	3475855	2	video_IP_end	true	3472647	Fixations	3130.00	2	4	Trial: 1	3460496	1
Ace_1	2	[Knock.wav, Knock2.wav, Pheasant.wav, Pheasant2.wav, Squeak1.wav, Squeak2.wav, Squeak3.wav]	(512, 384)	.	0	Ace_1	2	False	(255, 255, 255, 255)	white	w_minion32.mp4	hand	05_1	30.3	1	duck	down	2	hu_reach_dw_b_blue.mp4	15160	Ace_1.edf	RIGHT	condition: target_location	62500.00	7209.50	300	682	0.2759	false	.	133	2	.	.	2	12552	0	203.10	219.10	1	133	12684	0.1667	1	203.10	-272.00	12552	1.98	176.16	12551	2	12527	0.3333	2	0	1	0	0	.	0	85	0	0	.	.	3	.	upper_IA_large	549	2	14445	204.00	122.90	549	14993	0.1667	1	204.00	-353.60	14445	4.45	163.63	14444	6	14405	0	1	1	7213.00	7206.00	.	0	0	0	0	0	0	133	250	2	549	2	14445	204.00	122.90	549	14993	0.1667	1	204.00	-353.60	14445	133	0	85	.	.	.	.	.	.	.	.	.	.	.	.	.	50	RECTANGLE	[0, 3, 4, 6, 0, 3]	true	3494784	2	video_IP_end	true	3491578	Fixations	2472.00	6	4	Trial: 2	3479333	3
Ace_1	2	[Knock.wav, Knock2.wav, Pheasant.wav, Pheasant2.wav, Squeak1.wav, Squeak2.wav, Squeak3.wav]	(512, 384)	.	0	Ace_1	2	False	(255, 255, 255, 255)	white	w_minion32.mp4	hand	05_1	30.3	1	duck	down	2	hu_reach_dw_b_blue.mp4	15160	Ace_1.edf	RIGHT	condition: target_location	62500.00	7264.00	705	85	0.0344	false	.	85	3	3	[3]	3	12757	1	176.80	615.10	1	85	12841	0.1667	1	176.80	-203.10	12757	12.55	-92.96	12756	3	12685	0.1667	1	0	0	0	1	.	0	0	0	1258	.	.	4	.	lower_IA_large	85	1	12757	176.80	615.10	85	12841	0.1667	1	176.80	-203.10	12757	12.55	-92.96	12756	3	12685	0	1	1	7264.00	7264.00	.	0	0	0	0	0	0	85	250	1	.	.	.	.	.	.	.	.	.	.	.	.	85	0	.	.	.	.	.	.	.	.	.	.	.	.	.	.	455	RECTANGLE	[0, 3, 4, 6, 0, 3]	true	3494784	2	video_IP_end	true	3491578	Fixations	2472.00	6	4	Trial: 2	3479333	3
Ace_1	2	[Knock.wav, Knock2.wav, Pheasant.wav, Pheasant2.wav, Squeak1.wav, Squeak2.wav, Squeak3.wav]	(512, 384)	.	0	Ace_1	2	False	(255, 255, 255, 255)	white	w_minion32.mp4	hand	05_1	30.3	1	duck	down	2	hu_reach_dw_b_blue.mp4	15160	Ace_1.edf	RIGHT	condition: target_location	199798.45	.	495	0	0.0000	true	-9766	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	0.0000	0	0	0	0	0	.	0	0	0	0	.	.	5	20	hand_down	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	591	0	0	.	.	.	.	.	.	.	.	.	.	1023	0	.	.	.	.	.	.	.	.	.	.	.	.	.	1	.	-11977	.	.	.	.	.	.	.	.	.	.	.	.	250	RECTANGLE	[0, 3, 4, 6, 0, 3]	true	3494784	2	video_IP_end	true	3491578	Fixations	2472.00	6	4	Trial: 2	3479333	3
Ace_1	2	[Knock.wav, Knock2.wav, Pheasant.wav, Pheasant2.wav, Squeak1.wav, Squeak2.wav, Squeak3.wav]	(512, 384)	.	0	Ace_1	2	False	(255, 255, 255, 255)	white	w_minion32.mp4	hand	05_1	30.3	1	duck	down	2	hu_reach_dw_b_blue.mp4	15160	Ace_1.edf	RIGHT	condition: target_location	161560.40	7562.00	501	1258	0.5089	true	3193	1258	4	4	[4, 3]	4	12886	2	183.90	405.00	1	1258	14143	0.1667	1	42.09	448.20	12886	5.72	84.88	12885	4	12842	0.1667	1	0	0	0	0	.	0	0	0	0	.	.	6	20	test_hand	1258	1	12886	183.90	405.00	1258	14143	0.1667	1	42.09	448.20	12886	5.72	84.88	12885	4	12842	625	0	0	7562.00	7562.00	.	0	0	0	0	0	0	1807	1024	1	.	.	.	.	.	.	.	.	.	.	.	.	1258	0	.	-1749	.	.	.	.	.	.	.	.	.	.	.	.	248	RECTANGLE	[0, 3, 4, 6, 0, 3]	true	3494784	2	video_IP_end	true	3491578	Fixations	2472.00	6	4	Trial: 2	3479333	3
Ace_2	1	[Knock.wav, Knock2.wav, Pheasant.wav, Pheasant2.wav, Squeak1.wav, Squeak2.wav, Squeak3.wav]	(512, 384)	.	0	Ace_2	1	False	(255, 255, 255, 255)	white	w_minion32.mp4	hand	05_2	30.3	2	duck	down	3	hu_reach_dw_b_blue.mp4	15160	Ace_2.edf	RIGHT	condition: target_location	62500.00	.	300	0	0.0000	false	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	0.0000	0	0	0	0	0	.	0	0	0	0	.	.	3	.	upper_IA_large	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	0	0	0	.	.	.	.	.	.	.	.	.	.	250	0	.	.	.	.	.	.	.	.	.	.	.	.	.	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	50	RECTANGLE	[6, 0]	true	4732574	2	video_IP_end	true	4729366	Fixations	3023.00	5	4	Trial: 1	4717102	1
Ace_2	1	[Knock.wav, Knock2.wav, Pheasant.wav, Pheasant2.wav, Squeak1.wav, Squeak2.wav, Squeak3.wav]	(512, 384)	.	0	Ace_2	1	False	(255, 255, 255, 255)	white	w_minion32.mp4	hand	05_2	30.3	2	duck	down	3	hu_reach_dw_b_blue.mp4	15160	Ace_2.edf	RIGHT	condition: target_location	62500.00	.	705	0	0.0000	false	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	0.0000	0	0	0	0	0	.	0	0	0	0	.	.	4	.	lower_IA_large	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	0	0	0	.	.	.	.	.	.	.	.	.	.	250	0	.	.	.	.	.	.	.	.	.	.	.	.	.	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	455	RECTANGLE	[6, 0]	true	4732574	2	video_IP_end	true	4729366	Fixations	3023.00	5	4	Trial: 1	4717102	1
