RECORDING_SESSION_LABEL	TRIAL_INDEX	AG_Audio_LIST	AG_Loc	AG_VIDEO	Drift_Check	Session_Name_	Trial_Index_	Trial_Recycled_	bg_code	bg_name	calibration	condition	dog_session	frame_rate	session	target	target_location	trial_within_block	video_file	video_latency	DATA_FILE	EYE_USED	GROUPING_VARIABLES	IA_AREA	IA_AVERAGE_FIX_PUPIL_SIZE	IA_BOTTOM	IA_DWELL_TIME	IA_DWELL_TIME_%	IA_DYNAMIC	IA_END_TIME	IA_FIRST_FIXATION_DURATION	IA_FIRST_FIXATION_INDEX	IA_FIRST_FIXATION_PREVIOUS_FIX_IA	IA_FIRST_FIXATION_PREVIOUS_IAREAS	IA_FIRST_FIXATION_RUN_INDEX	IA_FIRST_FIXATION_TIME	IA_FIRST_FIXATION_VISITED_IA_COUNT	IA_FIRST_FIXATION_X	IA_FIRST_FIXATION_Y	IA_FIRST_FIX_PROGRESSIVE	IA_FIRST_RUN_DWELL_TIME	IA_FIRST_RUN_END_TIME	IA_FIRST_RUN_FIXATION_%	IA_FIRST_RUN_FIXATION_COUNT	IA_FIRST_RUN_LANDING_POSITION	IA_FIRST_RUN_LAUNCH_SITE	IA_FIRST_RUN_START_TIME	IA_FIRST_SACCADE_AMPLITUDE	IA_FIRST_SACCADE_ANGLE	IA_FIRST_SACCADE_END_TIME	IA_FIRST_SACCADE_INDEX	IA_FIRST_SACCADE_START_TIME	IA_FIXATION_%	IA_FIXATION_COUNT	IA_FSA_COUNT_3	IA_FSA_COUNT_4	IA_FSA_DURATION_3	IA_FSA_DURATION_4	IA_GROUP	IA_ID	IA_INSTANCES_COUNT	IA_LABEL	IA_LAST_FIXATION_DURATION	IA_LAST_FIXATION_RUN	IA_LAST_FIXATION_TIME	IA_LAST_FIXATION_X	IA_LAST_FIXATION_Y	IA_LAST_RUN_DWELL_TIME	IA_LAST_RUN_END_TIME	IA_LAST_RUN_FIXATION_%	IA_LAST_RUN_FIXATION_COUNT	IA_LAST_RUN_LANDING_POSITION	IA_LAST_RUN_LAUNCH_SITE	IA_LAST_RUN_START_TIME	IA_LAST_SACCADE_AMPLITUDE	IA_LAST_SACCADE_ANGLE	IA_LAST_SACCADE_END_TIME	IA_LAST_SACCADE_INDEX	IA_LAST_SACCADE_START_TIME	IA_LEFT	IA_LEGAL	IA_LEGAL_IMMEDIATE	IA_MAX_FIX_PUPIL_SIZE	IA_MIN_FIX_PUPIL_SIZE	IA_POINTS	IA_REGRESSION_IN	IA_REGRESSION_IN_COUNT	IA_REGRESSION_OUT	IA_REGRESSION_OUT_COUNT	IA_REGRESSION_OUT_FULL	IA_REGRESSION_OUT_FULL_COUNT	IA_REGRESSION_PATH_DURATION	IA_RIGHT	IA_RUN_COUNT	IA_SECOND_FIXATION_DURATION	IA_SECOND_FIXATION_RUN	IA_SECOND_FIXATION_TIME	IA_SECOND_FIXATION_X	IA_SECOND_FIXATION_Y	IA_SECOND_RUN_DWELL_TIME	IA_SECOND_RUN_END_TIME	IA_SECOND_RUN_FIXATION_%	IA_SECOND_RUN_FIXATION_COUNT	IA_SECOND_RUN_LANDING_POSITION	IA_SECOND_RUN_LAUNCH_SITE	IA_SECOND_RUN_START_TIME	IA_SELECTIVE_REGRESSION_PATH_DURATION	IA_SKIP	IA_SPILLOVER	IA_START_TIME	IA_THIRD_FIXATION_DURATION	IA_THIRD_FIXATION_RUN	IA_THIRD_FIXATION_TIME	IA_THIRD_FIXATION_X	IA_THIRD_FIXATION_Y	IA_THIRD_RUN_DWELL_TIME	IA_THIRD_RUN_END_TIME	IA_THIRD_RUN_FIXATION_%	IA_THIRD_RUN_FIXATION_COUNT	IA_THIRD_RUN_LANDING_POSITION	IA_THIRD_RUN_LAUNCH_SITE	IA_THIRD_RUN_START_TIME	IA_TOP	IA_TYPE	INTEREST_AREA_FIXATION_SEQUENCE	IP_END_EVENT_MATCHED	IP_END_TIME	IP_INDEX	IP_LABEL	IP_START_EVENT_MATCHED	IP_START_TIME	REPORTING_METHOD	TRIAL_DWELL_TIME	TRIAL_FIXATION_COUNT	TRIAL_IA_COUNT	TRIAL_LABEL	TRIAL_START_TIME	TRIAL_TOTAL_VISITED_IA_COUNT
Ace_1	1	[Knock.wav, Knock2.wav, Pheasant.wav, Pheasant2.wav, Squeak1.wav, Squeak2.wav, Squeak3.wav]	(512, 384)	.	0	Ace_1	1	False	(255, 255, 255, 255)	white	w_minion32.mp4	hand	05_1	30.3	1	duck	down	1	hu_reach_dw_b_blue.mp4	15160	Ace_1.edf	RIGHT	bg_code	62500.00	6339.14	300	7173	0.5129	false	.	120	3	.	.	2	494	0	222.00	215.60	1	314	831	0.0769	2	222.00	-473.00	494	8.39	153.95	493	2	412	0.5385	14	7	0	4164	0	.	3	.	upper_IA_large	1292	7	12157	159.30	111.90	1499	13448	0.0769	2	203.20	-291.10	11933	0.67	-151.31	12156	24	12140	0	1	1	7772.00	3997.00	.	0	0	0	0	0	0	7173	250	7	194	1	638	91.60	190.50	1701	3060	0.0385	1	124.10	-374.60	1360	7173	0	.	.	1701	2	1360	124.10	102.80	678	5122	0.0769	2	208.00	-826.00	4425	50	RECTANGLE	[0, 3, 0, 3, 0, 3, 0, 3, 0, 3, 0, 3, 0, 3, 0]	true	3475855	1	video_IP	true	3460685	Fixations	13985.00	26	2	Trial: 1	3460496	1
Ace_1	1	[Knock.wav, Knock2.wav, Pheasant.wav, Pheasant2.wav, Squeak1.wav, Squeak2.wav, Squeak3.wav]	(512, 384)	.	0	Ace_1	1	False	(255, 255, 255, 255)	white	w_minion32.mp4	hand	05_1	30.3	1	duck	down	1	hu_reach_dw_b_blue.mp4	15160	Ace_1.edf	RIGHT	bg_code	62500.00	.	705	0	0.0000	false	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	0.0000	0	0	0	0	0	.	4	.	lower_IA_large	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	0	0	0	.	.	.	.	.	.	.	.	.	.	250	0	.	.	.	.	.	.	.	.	.	.	.	.	.	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	455	RECTANGLE	[0, 3, 0, 3, 0, 3, 0, 3, 0, 3, 0, 3, 0, 3, 0]	true	3475855	1	video_IP	true	3460685	Fixations	13985.00	26	2	Trial: 1	3460496	1
Ace_1	2	[Knock.wav, Knock2.wav, Pheasant.wav, Pheasant2.wav, Squeak1.wav, Squeak2.wav, Squeak3.wav]	(512, 384)	.	0	Ace_1	2	False	(255, 255, 255, 255)	white	w_minion32.mp4	hand	05_1	30.3	1	duck	down	2	hu_reach_dw_b_blue.mp4	15160	Ace_1.edf	RIGHT	bg_code	62500.00	6890.38	300	9255	0.6708	false	.	517	3	.	.	2	630	0	144.20	183.40	1	2766	3455	0.1739	4	144.20	-580.90	630	13.51	161.83	629	2	568	0.5652	13	7	1	6524	85	.	3	.	upper_IA_large	549	6	14445	204.00	122.90	549	14993	0.0435	1	204.00	-353.60	14445	4.45	163.63	14444	22	14405	0	1	1	8426.00	5231.00	.	0	0	0	0	0	0	8706	250	6	1728	1	1179	248.50	156.40	1622	5981	0.0870	2	212.90	-566.30	4349	8706	0	85	.	196	1	2922	235.30	129.30	2460	8778	0.1304	3	200.00	-322.60	6273	50	RECTANGLE	[0, 3, 0, 3, 0, 3, 0, 3, 0, 3, 4, 0, 3]	true	3494784	1	video_IP	true	3479601	Fixations	13796.00	23	2	Trial: 2	3479333	2
Ace_1	2	[Knock.wav, Knock2.wav, Pheasant.wav, Pheasant2.wav, Squeak1.wav, Squeak2.wav, Squeak3.wav]	(512, 384)	.	0	Ace_1	2	False	(255, 255, 255, 255)	white	w_minion32.mp4	hand	05_1	30.3	1	duck	down	2	hu_reach_dw_b_blue.mp4	15160	Ace_1.edf	RIGHT	bg_code	62500.00	7264.00	705	85	0.0062	false	.	85	20	3	[3]	11	12757	1	176.80	615.10	1	85	12841	0.0435	1	176.80	-203.10	12757	12.55	-92.96	12756	19	12685	0.0435	1	0	0	0	0	.	4	.	lower_IA_large	85	1	12757	176.80	615.10	85	12841	0.0435	1	176.80	-203.10	12757	12.55	-92.96	12756	19	12685	0	1	1	7264.00	7264.00	.	0	0	0	0	0	0	634	250	1	.	.	.	.	.	.	.	.	.	.	.	.	85	0	.	.	.	.	.	.	.	.	.	.	.	.	.	.	455	RECTANGLE	[0, 3, 0, 3, 0, 3, 0, 3, 0, 3, 4, 0, 3]	true	3494784	1	video_IP	true	3479601	Fixations	13796.00	23	2	Trial: 2	3479333	2
Ace_2	1	[Knock.wav, Knock2.wav, Pheasant.wav, Pheasant2.wav, Squeak1.wav, Squeak2.wav, Squeak3.wav]	(512, 384)	.	0	Ace_2	1	False	(255, 255, 255, 255)	white	w_minion32.mp4	hand	05_2	30.3	2	duck	down	3	hu_reach_dw_b_blue.mp4	15160	Ace_2.edf	RIGHT	bg_code	62500.00	6866.60	300	1785	0.1243	false	.	166	3	.	.	2	624	0	136.80	114.50	1	166	789	0.0455	1	136.80	-558.80	624	12.99	162.45	623	2	568	0.2273	5	2	0	1281	0	.	3	.	upper_IA_large	756	3	9209	176.90	111.40	1410	9964	0.1364	3	143.70	-179.20	8469	2.66	78.90	9208	13	9170	0	1	1	8172.00	4586.00	.	0	0	0	0	0	0	1785	250	3	209	2	7105	177.80	88.60	209	7313	0.0455	1	177.80	-179.00	7105	1785	0	.	.	129	3	8469	143.70	91.20	1410	9964	0.1364	3	143.70	-179.20	8469	50	RECTANGLE	[0, 3, 0, 3, 0, 3, 0]	true	4732574	1	video_IP	true	4717397	Fixations	14364.00	22	2	Trial: 1	4717102	1
Ace_2	1	[Knock.wav, Knock2.wav, Pheasant.wav, Pheasant2.wav, Squeak1.wav, Squeak2.wav, Squeak3.wav]	(512, 384)	.	0	Ace_2	1	False	(255, 255, 255, 255)	white	w_minion32.mp4	hand	05_2	30.3	2	duck	down	3	hu_reach_dw_b_blue.mp4	15160	Ace_2.edf	RIGHT	bg_code	62500.00	.	705	0	0.0000	false	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	0.0000	0	0	0	0	0	.	4	.	lower_IA_large	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	0	0	0	.	.	.	.	.	.	.	.	.	.	250	0	.	.	.	.	.	.	.	.	.	.	.	.	.	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	455	RECTANGLE	[0, 3, 0, 3, 0, 3, 0]	true	4732574	1	video_IP	true	4717397	Fixations	14364.00	22	2	Trial: 1	4717102	1
Ace_4	1	[Knock.wav, Knock2.wav, Pheasant.wav, Pheasant2.wav, Squeak1.wav, Squeak2.wav, Squeak3.wav]	(512, 384)	.	0	Ace_4	2	False	(255, 255, 255, 255)	white	w_cuckoo32.mp4	hand	05_2	12	2	duck	down	4	hu_reach_dw_b_blue.mp4	15160	Ace_4.edf	RIGHT	bg_code	62500.00	3670.64	300	8092	0.5651	false	.	119	2	.	.	2	493	0	185.70	240.60	1	3655	4230	0.2308	6	185.70	-413.80	493	6.49	158.53	492	1	444	0.5385	14	10	0	7059	0	.	3	.	upper_IA_large	295	4	12200	178.80	173.50	295	12494	0.0385	1	178.80	-256.30	12200	1.43	-170.60	12199	21	12179	0	1	1	4341.00	2947.00	.	1	1	0	0	0	0	6940	250	4	540	1	632	117.10	195.20	3285	8598	0.1923	5	199.20	-247.00	5214	6940	0	286	.	1232	1	1191	199.30	197.50	857	11330	0.0769	2	212.30	-178.00	10452	50	RECTANGLE	[0, 3, 0, 3, 0, 4, 3, 0, 3, 0, 4, 0]	true	577101	1	video_IP	true	561926	Fixations	14319.00	26	2	Trial: 2	561644	2
Ace_4	1	[Knock.wav, Knock2.wav, Pheasant.wav, Pheasant2.wav, Squeak1.wav, Squeak2.wav, Squeak3.wav]	(512, 384)	.	0	Ace_4	2	False	(255, 255, 255, 255)	white	w_cuckoo32.mp4	hand	05_2	12	2	duck	down	4	hu_reach_dw_b_blue.mp4	15160	Ace_4.edf	RIGHT	bg_code	62500.00	4512.33	705	2642	0.1845	false	.	286	17	.	[3]	6	10111	1	178.00	465.30	1	286	10396	0.0385	1	178.00	-175.90	10111	1.96	-91.44	10110	16	10072	0.1154	3	1	1	238	2059	.	4	.	lower_IA_large	2059	2	13005	146.00	488.90	2356	15063	0.0769	2	152.90	-162.10	12692	0.99	-91.24	13004	24	12989	0	1	0	4627.00	4321.00	.	0	0	1	1	1	1	3794	250	2	297	2	12692	152.90	466.40	2356	15063	0.0769	2	152.90	-162.10	12692	2642	0	.	.	2059	2	13005	146.00	488.90	.	.	.	.	.	.	.	455	RECTANGLE	[0, 3, 0, 3, 0, 4, 3, 0, 3, 0, 4, 0]	true	577101	1	video_IP	true	561926	Fixations	14319.00	26	2	Trial: 2	561644	2
Ace_5	1	[Knock.wav, Knock2.wav, Pheasant.wav, Pheasant2.wav, Squeak1.wav, Squeak2.wav, Squeak3.wav]	(512, 384)	.	0	Ace_5	1	False	(255, 255, 255, 255)	white	w_cuckoo32.mp4	claw	05_3	12	3	duck	down	1	cr_reach_dw_b_blue.mp4	15160	Ace_5.edf	RIGHT	bg_code	62500.00	4861.29	300	3203	0.2341	false	.	152	3	.	.	2	670	0	94.60	107.30	1	152	821	0.0263	1	94.60	-331.90	670	7.24	156.44	669	2	624	0.1842	7	2	0	1561	0	.	3	.	upper_IA_large	569	5	13561	217.80	85.90	569	14129	0.0263	1	217.80	-444.30	13561	8.86	140.07	13560	34	13492	0	1	1	5489.00	3106.00	.	0	0	0	0	0	0	3203	250	5	140	2	2704	221.40	210.20	467	3206	0.0526	2	221.40	-175.20	2704	3203	0	.	.	327	2	2880	170.20	62.60	284	5801	0.0263	1	165.80	-377.20	5518	50	RECTANGLE	[0, 3, 0, 3, 0, 3, 0, 3, 0, 3, 0]	true	1026365	1	video_IP	true	1011201	Fixations	13680.00	38	2	Trial: 1	1010940	1
Ace_5	1	[Knock.wav, Knock2.wav, Pheasant.wav, Pheasant2.wav, Squeak1.wav, Squeak2.wav, Squeak3.wav]	(512, 384)	.	0	Ace_5	1	False	(255, 255, 255, 255)	white	w_cuckoo32.mp4	claw	05_3	12	3	duck	down	1	cr_reach_dw_b_blue.mp4	15160	Ace_5.edf	RIGHT	bg_code	62500.00	.	705	0	0.0000	false	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	0.0000	0	0	0	0	0	.	4	.	lower_IA_large	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	0	0	0	.	.	.	.	.	.	.	.	.	.	250	0	.	.	.	.	.	.	.	.	.	.	.	.	.	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	455	RECTANGLE	[0, 3, 0, 3, 0, 3, 0, 3, 0, 3, 0]	true	1026365	1	video_IP	true	1011201	Fixations	13680.00	38	2	Trial: 1	1010940	1
