RECORDING_SESSION_LABEL	TRIAL_INDEX	AG_Audio_LIST	AG_Loc	AG_VIDEO	Drift_Check	Session_Name_	Trial_Index_	Trial_Recycled_	bg_code	bg_name	calibration	condition	dog_session	frame_rate	session	target	target_location	trial_within_block	video_file	video_latency	DATA_FILE	EYE_USED	GROUPING_VARIABLES	IA_AREA	IA_AVERAGE_FIX_PUPIL_SIZE	IA_BOTTOM	IA_DWELL_TIME	IA_DWELL_TIME_%	IA_DYNAMIC	IA_END_TIME	IA_FIRST_FIXATION_DURATION	IA_FIRST_FIXATION_INDEX	IA_FIRST_FIXATION_PREVIOUS_FIX_IA	IA_FIRST_FIXATION_PREVIOUS_IAREAS	IA_FIRST_FIXATION_RUN_INDEX	IA_FIRST_FIXATION_TIME	IA_FIRST_FIXATION_VISITED_IA_COUNT	IA_FIRST_FIXATION_X	IA_FIRST_FIXATION_Y	IA_FIRST_FIX_PROGRESSIVE	IA_FIRST_RUN_DWELL_TIME	IA_FIRST_RUN_END_TIME	IA_FIRST_RUN_FIXATION_%	IA_FIRST_RUN_FIXATION_COUNT	IA_FIRST_RUN_LANDING_POSITION	IA_FIRST_RUN_LAUNCH_SITE	IA_FIRST_RUN_START_TIME	IA_FIRST_SACCADE_AMPLITUDE	IA_FIRST_SACCADE_ANGLE	IA_FIRST_SACCADE_END_TIME	IA_FIRST_SACCADE_INDEX	IA_FIRST_SACCADE_START_TIME	IA_FIXATION_%	IA_FIXATION_COUNT	IA_FSA_COUNT_3	IA_FSA_COUNT_4	IA_FSA_DURATION_3	IA_FSA_DURATION_4	IA_GROUP	IA_ID	IA_INSTANCES_COUNT	IA_LABEL	IA_LAST_FIXATION_DURATION	IA_LAST_FIXATION_RUN	IA_LAST_FIXATION_TIME	IA_LAST_FIXATION_X	IA_LAST_FIXATION_Y	IA_LAST_RUN_DWELL_TIME	IA_LAST_RUN_END_TIME	IA_LAST_RUN_FIXATION_%	IA_LAST_RUN_FIXATION_COUNT	IA_LAST_RUN_LANDING_POSITION	IA_LAST_RUN_LAUNCH_SITE	IA_LAST_RUN_START_TIME	IA_LAST_SACCADE_AMPLITUDE	IA_LAST_SACCADE_ANGLE	IA_LAST_SACCADE_END_TIME	IA_LAST_SACCADE_INDEX	IA_LAST_SACCADE_START_TIME	IA_LEFT	IA_LEGAL	IA_LEGAL_IMMEDIATE	IA_MAX_FIX_PUPIL_SIZE	IA_MIN_FIX_PUPIL_SIZE	IA_POINTS	IA_REGRESSION_IN	IA_REGRESSION_IN_COUNT	IA_REGRESSION_OUT	IA_REGRESSION_OUT_COUNT	IA_REGRESSION_OUT_FULL	IA_REGRESSION_OUT_FULL_COUNT	IA_REGRESSION_PATH_DURATION	IA_RIGHT	IA_RUN_COUNT	IA_SECOND_FIXATION_DURATION	IA_SECOND_FIXATION_RUN	IA_SECOND_FIXATION_TIME	IA_SECOND_FIXATION_X	IA_SECOND_FIXATION_Y	IA_SECOND_RUN_DWELL_TIME	IA_SECOND_RUN_END_TIME	IA_SECOND_RUN_FIXATION_%	IA_SECOND_RUN_FIXATION_COUNT	IA_SECOND_RUN_LANDING_POSITION	IA_SECOND_RUN_LAUNCH_SITE	IA_SECOND_RUN_START_TIME	IA_SELECTIVE_REGRESSION_PATH_DURATION	IA_SKIP	IA_SPILLOVER	IA_START_TIME	IA_THIRD_FIXATION_DURATION	IA_THIRD_FIXATION_RUN	IA_THIRD_FIXATION_TIME	IA_THIRD_FIXATION_X	IA_THIRD_FIXATION_Y	IA_THIRD_RUN_DWELL_TIME	IA_THIRD_RUN_END_TIME	IA_THIRD_RUN_FIXATION_%	IA_THIRD_RUN_FIXATION_COUNT	IA_THIRD_RUN_LANDING_POSITION	IA_THIRD_RUN_LAUNCH_SITE	IA_THIRD_RUN_START_TIME	IA_TOP	IA_TYPE	INTEREST_AREA_FIXATION_SEQUENCE	IP_END_EVENT_MATCHED	IP_END_TIME	IP_INDEX	IP_LABEL	IP_START_EVENT_MATCHED	IP_START_TIME	REPORTING_METHOD	TRIAL_DWELL_TIME	TRIAL_FIXATION_COUNT	TRIAL_IA_COUNT	TRIAL_LABEL	TRIAL_START_TIME	TRIAL_TOTAL_VISITED_IA_COUNT
Ace_1	1	[Knock.wav, Knock2.wav, Pheasant.wav, Pheasant2.wav, Squeak1.wav, Squeak2.wav, Squeak3.wav]	(512, 384)	.	0	Ace_1	1	False	(255, 255, 255, 255)	white	w_minion32.mp4	hand	05_1	30.3	1	duck	down	1	hu_reach_dw_b_blue.mp4	15160	Ace_1.edf	RIGHT	bg_code	62500.00	6866.00	300	1292	0.4128	false	.	1292	1	.	.	1	12157	0	159.30	111.90	1	1292	13448	0.5000	1	159.30	.	12157	0.67	-151.31	12156	.	12140	0.5000	1	0	0	0	0	.	3	.	upper_IA_large	1292	1	12157	159.30	111.90	1292	13448	0.5000	1	159.30	.	12157	0.67	-151.31	12156	.	12140	0	1	1	6866.00	6866.00	.	0	0	0	0	0	0	1292	250	1	.	.	.	.	.	.	.	.	.	.	.	.	1292	0	.	.	.	.	.	.	.	.	.	.	.	.	.	.	50	RECTANGLE	[3, 0]	true	3475855	2	video_IP_end	true	3472647	Fixations	3130.00	2	2	Trial: 1	3460496	1
Ace_1	1	[Knock.wav, Knock2.wav, Pheasant.wav, Pheasant2.wav, Squeak1.wav, Squeak2.wav, Squeak3.wav]	(512, 384)	.	0	Ace_1	1	False	(255, 255, 255, 255)	white	w_minion32.mp4	hand	05_1	30.3	1	duck	down	1	hu_reach_dw_b_blue.mp4	15160	Ace_1.edf	RIGHT	bg_code	62500.00	.	705	0	0.0000	false	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	0.0000	0	0	0	0	0	.	4	.	lower_IA_large	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	0	0	0	.	.	.	.	.	.	.	.	.	.	250	0	.	.	.	.	.	.	.	.	.	.	.	.	.	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	455	RECTANGLE	[3, 0]	true	3475855	2	video_IP_end	true	3472647	Fixations	3130.00	2	2	Trial: 1	3460496	1
Ace_1	2	[Knock.wav, Knock2.wav, Pheasant.wav, Pheasant2.wav, Squeak1.wav, Squeak2.wav, Squeak3.wav]	(512, 384)	.	0	Ace_1	2	False	(255, 255, 255, 255)	white	w_minion32.mp4	hand	05_1	30.3	1	duck	down	2	hu_reach_dw_b_blue.mp4	15160	Ace_1.edf	RIGHT	bg_code	62500.00	7209.50	300	682	0.2759	false	.	133	2	.	.	2	12552	0	203.10	219.10	1	133	12684	0.1667	1	203.10	-272.00	12552	1.98	176.16	12551	2	12527	0.3333	2	0	1	0	85	.	3	.	upper_IA_large	549	2	14445	204.00	122.90	549	14993	0.1667	1	204.00	-353.60	14445	4.45	163.63	14444	6	14405	0	1	1	7213.00	7206.00	.	0	0	0	0	0	0	133	250	2	549	2	14445	204.00	122.90	549	14993	0.1667	1	204.00	-353.60	14445	133	0	85	.	.	.	.	.	.	.	.	.	.	.	.	.	50	RECTANGLE	[0, 3, 4, 0, 3]	true	3494784	2	video_IP_end	true	3491578	Fixations	2472.00	6	2	Trial: 2	3479333	2
Ace_1	2	[Knock.wav, Knock2.wav, Pheasant.wav, Pheasant2.wav, Squeak1.wav, Squeak2.wav, Squeak3.wav]	(512, 384)	.	0	Ace_1	2	False	(255, 255, 255, 255)	white	w_minion32.mp4	hand	05_1	30.3	1	duck	down	2	hu_reach_dw_b_blue.mp4	15160	Ace_1.edf	RIGHT	bg_code	62500.00	7264.00	705	85	0.0344	false	.	85	3	3	[3]	3	12757	1	176.80	615.10	1	85	12841	0.1667	1	176.80	-203.10	12757	12.55	-92.96	12756	3	12685	0.1667	1	0	0	0	0	.	4	.	lower_IA_large	85	1	12757	176.80	615.10	85	12841	0.1667	1	176.80	-203.10	12757	12.55	-92.96	12756	3	12685	0	1	1	7264.00	7264.00	.	0	0	0	0	0	0	634	250	1	.	.	.	.	.	.	.	.	.	.	.	.	85	0	.	.	.	.	.	.	.	.	.	.	.	.	.	.	455	RECTANGLE	[0, 3, 4, 0, 3]	true	3494784	2	video_IP_end	true	3491578	Fixations	2472.00	6	2	Trial: 2	3479333	2
Ace_2	1	[Knock.wav, Knock2.wav, Pheasant.wav, Pheasant2.wav, Squeak1.wav, Squeak2.wav, Squeak3.wav]	(512, 384)	.	0	Ace_2	1	False	(255, 255, 255, 255)	white	w_minion32.mp4	hand	05_2	30.3	2	duck	down	3	hu_reach_dw_b_blue.mp4	15160	Ace_2.edf	RIGHT	bg_code	62500.00	.	300	0	0.0000	false	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	0.0000	0	0	0	0	0	.	3	.	upper_IA_large	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	0	0	0	.	.	.	.	.	.	.	.	.	.	250	0	.	.	.	.	.	.	.	.	.	.	.	.	.	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	50	RECTANGLE	[0]	true	4732574	2	video_IP_end	true	4729366	Fixations	3023.00	5	2	Trial: 1	4717102	0
Ace_2	1	[Knock.wav, Knock2.wav, Pheasant.wav, Pheasant2.wav, Squeak1.wav, Squeak2.wav, Squeak3.wav]	(512, 384)	.	0	Ace_2	1	False	(255, 255, 255, 255)	white	w_minion32.mp4	hand	05_2	30.3	2	duck	down	3	hu_reach_dw_b_blue.mp4	15160	Ace_2.edf	RIGHT	bg_code	62500.00	.	705	0	0.0000	false	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	0.0000	0	0	0	0	0	.	4	.	lower_IA_large	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	0	0	0	.	.	.	.	.	.	.	.	.	.	250	0	.	.	.	.	.	.	.	.	.	.	.	.	.	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	455	RECTANGLE	[0]	true	4732574	2	video_IP_end	true	4729366	Fixations	3023.00	5	2	Trial: 1	4717102	0
Ace_4	1	[Knock.wav, Knock2.wav, Pheasant.wav, Pheasant2.wav, Squeak1.wav, Squeak2.wav, Squeak3.wav]	(512, 384)	.	0	Ace_4	2	False	(255, 255, 255, 255)	white	w_cuckoo32.mp4	hand	05_2	12	2	duck	down	4	hu_reach_dw_b_blue.mp4	15160	Ace_4.edf	RIGHT	bg_code	62500.00	3951.00	300	248	0.0803	false	.	248	1	.	.	1	12247	0	178.80	173.50	1	248	12494	0.2000	1	178.80	.	12247	.	.	.	.	.	0.2000	1	0	0	0	0	.	3	.	upper_IA_large	248	1	12247	178.80	173.50	248	12494	0.2000	1	178.80	.	12247	.	.	.	.	.	0	1	1	3951.00	3951.00	.	0	0	0	0	0	0	248	250	1	.	.	.	.	.	.	.	.	.	.	.	.	248	0	297	.	.	.	.	.	.	.	.	.	.	.	.	.	50	RECTANGLE	[3, 0, 4, 0]	true	577101	2	video_IP_end	true	573891	Fixations	3089.00	5	2	Trial: 2	561644	2
Ace_4	1	[Knock.wav, Knock2.wav, Pheasant.wav, Pheasant2.wav, Squeak1.wav, Squeak2.wav, Squeak3.wav]	(512, 384)	.	0	Ace_4	2	False	(255, 255, 255, 255)	white	w_cuckoo32.mp4	hand	05_2	12	2	duck	down	4	hu_reach_dw_b_blue.mp4	15160	Ace_4.edf	RIGHT	bg_code	62500.00	4455.00	705	2356	0.7627	false	.	297	3	.	[3]	3	12692	1	152.90	466.40	1	2356	15063	0.4000	2	152.90	-162.10	12692	3.46	-93.74	12691	2	12658	0.4000	2	0	1	0	2059	.	4	.	lower_IA_large	2059	1	13005	146.00	488.90	2356	15063	0.4000	2	152.90	-162.10	12692	0.99	-91.24	13004	3	12989	0	1	0	4589.00	4321.00	.	0	0	0	0	0	0	2356	250	1	2059	1	13005	146.00	488.90	.	.	.	.	.	.	.	2356	0	.	.	.	.	.	.	.	.	.	.	.	.	.	.	455	RECTANGLE	[3, 0, 4, 0]	true	577101	2	video_IP_end	true	573891	Fixations	3089.00	5	2	Trial: 2	561644	2
Ace_5	1	[Knock.wav, Knock2.wav, Pheasant.wav, Pheasant2.wav, Squeak1.wav, Squeak2.wav, Squeak3.wav]	(512, 384)	.	0	Ace_5	1	False	(255, 255, 255, 255)	white	w_cuckoo32.mp4	claw	05_3	12	3	duck	down	1	cr_reach_dw_b_blue.mp4	15160	Ace_5.edf	RIGHT	bg_code	62500.00	5137.00	300	569	0.1892	false	.	569	3	.	.	2	13561	0	217.80	85.90	1	569	14129	0.1667	1	217.80	-444.30	13561	8.86	140.07	13560	2	13492	0.1667	1	0	0	0	0	.	3	.	upper_IA_large	569	1	13561	217.80	85.90	569	14129	0.1667	1	217.80	-444.30	13561	8.86	140.07	13560	2	13492	0	1	1	5137.00	5137.00	.	0	0	0	0	0	0	569	250	1	.	.	.	.	.	.	.	.	.	.	.	.	569	0	.	.	.	.	.	.	.	.	.	.	.	.	.	.	50	RECTANGLE	[0, 3, 0]	true	1026365	2	video_IP_end	true	1023159	Fixations	3007.00	6	2	Trial: 1	1010940	1
Ace_5	1	[Knock.wav, Knock2.wav, Pheasant.wav, Pheasant2.wav, Squeak1.wav, Squeak2.wav, Squeak3.wav]	(512, 384)	.	0	Ace_5	1	False	(255, 255, 255, 255)	white	w_cuckoo32.mp4	claw	05_3	12	3	duck	down	1	cr_reach_dw_b_blue.mp4	15160	Ace_5.edf	RIGHT	bg_code	62500.00	.	705	0	0.0000	false	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	0.0000	0	0	0	0	0	.	4	.	lower_IA_large	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	0	0	0	.	.	.	.	.	.	.	.	.	.	250	0	.	.	.	.	.	.	.	.	.	.	.	.	.	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	455	RECTANGLE	[0, 3, 0]	true	1026365	2	video_IP_end	true	1023159	Fixations	3007.00	6	2	Trial: 1	1010940	1
